,propertName,links,rating,society,price,area,areaWithType,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,description,furnishDetails,features,propertyId
,"2 BHK Flatin Sector 3, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-habitat-sector-3-gurgaon-1444-sq-ft-r10-spid-E68327112,,  Godrej Habitat,1.32 Crore,,1444,2 Bedrooms,2 Bathrooms,Servant Room,"Godrej Habitat Sector 3, Gurgaon",4th   of 17 Floors,North,0 to 1 Year Old,"['Huda City Centre Metro Station', 'Star Mall', 'Dwarka Expressway', 'National Highway 8', 'Gems International School', 'ICFAI University', 'Sneh Hospital', 'Indira Gandhi International Airport', 'Country Inn & Suites by Radisson', 'Appu Ghar Water Park', 'HUDA Mini Golf Course']",2bhk semi furnished appartment for sale in godrej habitat at very good price..,"['3 Fan', '4 Light', '2 AC', '2 TV', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'False Ceiling Lighting', 'Separate entry for servant room', 'Piped-gas', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",E68327112
,"3 BHK Flatin Sector 86, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-K79689999,4,  DLF The Skycourt,2.25 Crore,1929,1550,3 Bedrooms,3 Bathrooms,,"DLF The Skycourt Sector 86, Gurgaon",11st   of 19 Floors,East,1 to 5 Year Old,"['Sapphire 83 Mall', 'NH-8, Imt Manesar', 'Rao Bharat Singh International School', 'DPG Institute of Technology', 'Aarvy Healthcare', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'Aapno Ghar', 'National Tennis Academy Sector 98']","This beautiful 3 bhk flat in sector 86 gurgaon is situated in dlf the skycourt, one of the popular residential society in gurgaon. This residential flat is east-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a sup...","['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '5 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Bed', 'No TV']","['Centrally Air Conditioned', 'Water purifier', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",K79689999
,"3 BHK Flatin Nirvana Country, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1877-sq-ft-spid-F78852763,3.8,  Unitech Fresco,2.85 Crore,1877,1800,3 Bedrooms,4 Bathrooms,Servant Room,"Unitech Fresco Nirvana Country, Gurgaon",9th   of 19 Floors,East,5 to 10 Year Old,"['Rapid Metro Station Sector 55 56', 'M3M Cosmopolitan', 'Golf Course Ext Rd', 'The Paras World School', 'Park Hospital', 'IGI Airport', ""McDonald's India"", 'SkyJumper Trampoline Park']","3 bhk with sq ready to move in luxury 
Apartment with all amenities like club pool
Power back security intercom call for genuine query","['3 Wardrobe', '7 Fan', '1 Fridge', '4 Geyser', '1 Microwave', '13 Light', '1 Modular Kitchen', '1 Chimney', '5 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",F78852763
,"2 BHK Flatin Sector 108, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1381-sq-ft-spid-B79928269,3.7,  Sobha City,2.65 Crore,1381,848.2,2 Bedrooms,2 Bathrooms,,"Sobha City Sector 108, Gurgaon",2nd   of 24 Floors,West,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'WTC Plaza', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Chintels Corporate Park Sec 114 Gurgaon', 'Country Inn & Suites by Radisson', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']","Situated in sector 108 gurgaon, sobha city is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in gurgaon is your opportunity to be a part of this community. This property faces the north-East direction. The flat occupies a super built up area of 1381...","['2 Wardrobe', '1 Water Purifier', '1 Exhaust Fan', '2 Geyser', '5 Light', '1 Chimney', '1 Modular Kitchen', '3 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",B79928269
,"3 BHK Flatin Sector 79, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mapsko-mount-ville-sector-79-gurgaon-1490-sq-ft-spid-D79959105,4.1,  Mapsko Mount Ville,2 Crore,1490,,3 Bedrooms,3 Bathrooms,,"Mapsko Mount Ville Sector 79, Gurgaon",16th   of 30 Floors,East,1 to 5 Year Old,"['Huda Metro Station (Gurugram)', 'Sapphire 83 Mall', 'Naurangpur Road', 'Delhi - Ajmer Expy', 'Bal Bharati Public School–IMT Manesar', 'Amity University Gurugram', 'Miracles Apollo Cradle / Spectra', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","This 3 bhk flat is located in mapsko mount ville, which houses some of the most spacious flats in sector 79 gurgaon. This is a east-Facing property. Containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a super built up area of 1490 sq.Ft. The flat has a total of 30 floors a...","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '8 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",D79959105
,"3 BHK Flatin Sector 36A, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-krisumi-waterfall-residences-sector-36a-gurgaon-2538-sq-ft-spid-Y79670437,3.7,  Krisumi Waterfall Residences,4.85 Crore,2538,1325.69,3 Bedrooms,3 Bathrooms,,"Krisumi Waterfall Residences Sector 36A, Gurgaon",33rd   of 34 Floors,,0 to 1 Year Old,"['Sapphire 83', 'Dwarka Expressway', 'Sector 86 Rd', 'St. Xaviers High School', 'Gurugram University', 'Kathuria Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Vatika Business Centre', 'Holiday Inn Gurugram Sector 90', 'AapnoGhar Amusement Park']","1) joint venture of krishna and sumitomo group 
2) promising rental of 110rupees per sq.Ft 
3) 5 year warranty on paint, tiles and electric wires 
4) very close to global city 
5) made by tata group","['1 Wardrobe', '1 Water Purifier', '1 Exhaust Fan', '1 Geyser', '1 Washing Machine', '1 Stove', '1 Light', '1 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",Y79670437
,"3 BHK Flatin Sector 102, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-adani-m2k-oyster-grande-sector-102-gurgaon-1889-sq-ft-r1-spid-J76928915,3.9,  Adani M2K Oyster Grande,2.47 Crore,1889,,3 Bedrooms,4 Bathrooms,Servant Room,"Adani M2K Oyster Grande Sector 102, Gurgaon",11st   of 24 Floors,North-East,1 to 5 Year Old,"['The Esplanade Mall', 'Dwarka Express Highway', 'Delhi Public School', 'SGT University', 'The Signature Hospital', 'Indira Gandhi Airport', 'Gurugram Railway Station', 'Nehru Stadium']","This lovely 3 bhk apartment/flat in sector 102 gurgaon is available for sale in one of gurgaon's most popular projects, adani m2k oyster grande. The flat is facing the north-East direction. Constructed on a super built up area of 1889 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and more tha...","['3 Bed', '10 Fan', '1 Exhaust Fan', '3 Geyser', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",J76928915
,"3 BHK Independent Builder Floorin Sector 67, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-api-esencia-sector-67-gurgaon-1638-sq-ft-spid-P80890807,3.6,  Ansal API Esencia,1.6 Crore,,1638,3 Bedrooms,3 Bathrooms,,"Ansal API Esencia Sector 67, Gurgaon",3rd   of 4 Floors,,0 to 1 Year Old,"['Proposed Metro corridor', 'N.H-8', 'Golf Course Road', 'Shiskshantar', 'DPS', 'Amity', 'Pathways', 'GD Goenka', 'Medicity', 'Artemis', 'Max, Fortis', 'Apollo']","We are the proud owners of this 3 bhk apartment available in ranipokhari, sector 67 gurgaon, gurgaon. This unfurnished apartment is a 0-1 year old property, priced approximately at rs. 9768.00 per sq.Ft. Or rs. Rs1.6 crore.  it is a resale and a ready to move in apartment. The unit is located on 3rd...",,,P80890807
,"3 BHK Flatin Sector 37D, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-primera-sector-37d-gurgaon-1800-sq-ft-spid-L79952925,3.5,  Ramprastha Primera,1.59 Crore,1800,,3 Bedrooms,3 Bathrooms,,"Ramprastha Primera Sector 37D, Gurgaon",8th   of 22 Floors,East,1 to 5 Year Old,"['JMS Marine Square Mall', 'HUDA Market', 'Dwarka Expressway', 'Delhi Jaipur Expressway', 'Blue Bells Public School', 'SGT University', 'Medanta The Medicity', 'Indira Gandhi International Airport', 'infinity Business Park', 'Holiday Inn Gurugram Sector 90']",Ramprastha primera is one of the most popular destination for buying apartments/ flats in sector 37d gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is east-Facing direction. The flat occupies a super built up area of 1800 sq.Ft. That consists...,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,L79952925
,"3 BHK Flatin Sector 112, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-3763-sq-ft-spid-K79669553,4,  Experion Wdchants,5.9 Crore,3763,2873.18,3 Bedrooms,5 Bathrooms,"Pooja Room,Servant Room","Experion Windchants Sector 112, Gurgaon",18th   of 28 Floors,South,1 to 5 Year Old,"['Ansal Plaza', 'Dwaraka Expressway', 'First Step Play School', 'Sri Ma Montessori International', 'Jai Sai Ram Hospital', 'Park Hospital', 'IGI Airport', 'Gurgaon Railway Station']","This 3 bhk flat is located in experion windchants, which houses some of the most spacious flats in sector 112 gurgaon. This residential flat is east-Facing direction. Constructed on a super built up area of 3763 sq.Ft., the flat comprises 3 bedroom(s), 5 bathrooms and 2 balconies. The property is lo...","['1 Modular Kitchen', '7 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",K79669553
,"3 BHK Flatin Sector 59, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-2295-sq-ft-spid-M80560035,,  Conscient Elevate,5.4 Crore,2295,,3 Bedrooms,4 Bathrooms,"Servant Room,Pooja Room","Conscient Elevate Sector 59, Gurgaon",17th   of 33 Floors,North-East,0 to 1 Year Old,"['Rapid Metro Station Sector 55', 'Paras Trinity Mall Sector 63', 'Badshahpur Sohna Rd Highway', 'Mehrauli-Gurgaon Road', 'DPS International School Sector 50', 'Gurugram University Sector 51', 'W Pratiksha Hospital Sector 56', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'International Tech Park Gurgaon', 'Grand Hyatt Gurgaon', 'Mannat Park', 'ZEN Golf Range & Academy', 'Tau DeviLal Sports Complex']","Address ; Conscient hines elevate sector 59 , gurgaon , haryana Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in conscient elevate that is situated in sector 59 gurgaon. Containing 3 bedroom(s), 4 bathrooms and 3 balconies, this flat is spread over a super built up area of ...","['6 Fan', '4 Geyser', '1 Microwave', '50 Light', '1 Modular Kitchen', '4 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",M80560035
,"4 BHK Flatin Sector 3, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-habitat-sector-3-gurgaon-2650-sq-ft-spid-G79731583,,  Godrej Habitat,2.45 Crore,,2650,4 Bedrooms,4 Bathrooms,,"Godrej Habitat Sector 3, Gurgaon",12nd   of 17 Floors,North,0 to 1 Year Old,"['Huda City Centre Metro Station', 'Star Mall', 'Dwarka Expressway', 'National Highway 8', 'Gems International School', 'ICFAI University', 'Sneh Hospital', 'Indira Gandhi International Airport', 'Country Inn & Suites by Radisson', 'Appu Ghar Water Park', 'HUDA Mini Golf Course']","Check out this 4 bhk apartment for sale in godrej habitat, a popular residential project that houses in-Demand flats in sector 3 gurgaon. This is a north-Facing property. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a carpet area of 2650 sq.Ft. The propert...","['1 Wardrobe', '2 Light', '4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']",G79731583
,"3 BHK Flatin Sector 81, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-ananda-sector-81-gurgaon-1660-sq-ft-spid-D79989877,4.1,  Bestech Park View Ananda,1.8 Crore,1660,1082,3 Bedrooms,2 Bathrooms,,"Bestech Park View Ananda Sector 81, Gurgaon",14th   of 15 Floors,West,5 to 10 Year Old,"['Metro Station Kankrola sec 87', 'Sapphire 83 Mall', 'Dwarka Expressway', ""St. Xavier's High School"", 'Miracles Apollo Cradle /Spectra Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Heritage Village Resort & Spa', 'SkyJumper Trampoline Park', 'National Tennis Academy']","Bestech park view ananda is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 81 gurgaon is your opportunity to be a part of this community. This property faces the west direction. The flat is over 1660 sq.Ft. Super built up area and comes with 3 bedroom(s),...","['5 Fan', '1 Exhaust Fan', '1 Modular Kitchen', '5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",D79989877
,"3 BHK Flatin Sector 104, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-2290-sq-ft-spid-V79603195,3.9,  ATS Triumph,2.55 Crore,2290,1862,3 Bedrooms,4 Bathrooms,Servant Room,"ATS Triumph Sector 104, Gurgaon",14th   of 27 Floors,North-East,1 to 5 Year Old,"['IFFCO Chowk Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expressway', 'Govt. PG College', 'Delhi Public School', 'The NorthCap University', 'Shree Krishna Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot', 'The Executive Centre', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']","Spacious 2290 sqft 3 bhk plus servant available in ats triumph, sec 104 gurgaon. 
Experience the breathtaking luxury of ats triumph homes to get a taste of the excellent life. Motivated by the great designer mies van der rohes philosophy that god is in the information, these ats homes have been desi...","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",,V79603195
,"3 BHK Flatin Sector 84, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-spaze-kalistaa-sector-84-gurgaon-3200-sq-ft-spid-B80625457,,  Spaze Kalistaa,3.75 Crore,,3200,3 Bedrooms,4 Bathrooms,"Study Room,Servant Room","Spaze Kalistaa Sector 84, Gurgaon",2nd   of 23 Floors,South,0 to 1 Year Old,"['Huda Metro Station', 'Vatika Town Square-INXT', 'Euro International School', 'DPG Degree College', 'Genesis Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction', 'Candor Infospace, Tower 2', 'Holiday Inn Gurugram Sector 90', 'AapnoGhar', 'Manesar Golf Course', 'Nakhrola Stadium']","This 3 bhk flat is located in spaze kalistaa, which houses some of the most spacious flats in sector 84 gurgaon. The flat is facing the south direction. Constructed on a carpet area of 3200 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and 3 balconies. The residential building has 23 floors i...","['1 Exhaust Fan', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",B80625457
,"4 BHK Flatin Sector 84, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-spaze-kalistaa-sector-84-gurgaon-4248-sq-ft-r5-spid-W72436424,,  Spaze Kalistaa,4.65 Crore,4248,,4 Bedrooms,4 Bathrooms,"Servant Room,Study Room,Pooja Room,Store Room","Spaze Kalistaa Sector 84, Gurgaon",11st   of 23 Floors,North-East,1 to 5 Year Old,"['Huda Metro Station', 'Vatika Town Square-INXT', 'Euro International School', 'DPG Degree College', 'Genesis Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction', 'Candor Infospace, Tower 2', 'Holiday Inn Gurugram Sector 90', 'AapnoGhar', 'Manesar Golf Course', 'Nakhrola Stadium']","Spaze kalistaa is offering a 4bhk apartment in sector 84 gurgaon at a price range of 4.65 cr with an area of 4248 sq.Ft. A ready to move 4 bedroom apartment, located in sector-84, gurgaon, is available. It is a semifurnished apartment, situated in a prominent locality. The apartment is on the 11th f...","['1 Water Purifier', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '10 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', '3 Wardrobe', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Sofa', 'No TV']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",W72436424
,"3 BHK Flatin Sector 112, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-2802-sq-ft-spid-C80150735,4,  Experion Wdchants,4.62 Crore,,2802,3 Bedrooms,3 Bathrooms,"Study Room,Servant Room","Experion Windchants Sector 112, Gurgaon",12nd   of 28 Floors,East,1 to 5 Year Old,"['Ansal Plaza', 'Dwaraka Expressway', 'First Step Play School', 'Sri Ma Montessori International', 'Jai Sai Ram Hospital', 'Park Hospital', 'IGI Airport', 'Gurgaon Railway Station']","Keys in hand. New apartment. This is all inclusive price. We are authorized rera registered channel partner. We have multiple options available with distress deal, best price guaranteed. We believe into making trust and giving right information with fine advisory. One call makes a difference.
Keys i...","['1 Bed', '1 Light', '1 AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",C80150735
,"3 BHK Flatin Nirvana Country, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1877-sq-ft-spid-S79153605,3.8,  Unitech Fresco,2.8 Crore,1877,1800,3 Bedrooms,4 Bathrooms,Servant Room,"Unitech Fresco Nirvana Country, Gurgaon",7th   of 19 Floors,East,1 to 5 Year Old,"['Rapid Metro Station Sector 55 56', 'M3M Cosmopolitan', 'Golf Course Ext Rd', 'The Paras World School', 'Park Hospital', 'IGI Airport', ""McDonald's India"", 'SkyJumper Trampoline Park']",3 bhk with sq ready to move prime location park pool facing and sun facing balcony with all amenities prime location in nirvana country gurgaon,"['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '4 Geyser', '1 Microwave', '13 Light', '1 Modular Kitchen', '1 Chimney', '5 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",S79153605
