society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
  emaar mgf palm terraces select,4.2,sector 66,17427.39,flat,2410.0,2410.0,1687.0,2048.5,4.0,4.0,"Emaar Mgf Palm Terraces Select Sector 66, Gurgaon",10.0,north,relatively new property,,0,1,0,0,0,1,180
"  dlf new town heights 2, sector 86, gurgaon",4.1,sector 86,,house,,,,,4.0,4.0,"  dlf new town heights 2, sector 86, gurgaon",3.0,east,moderatly old property,3+,1,1,0,0,0,1,185
"  vipul tatvam villa, sector 48, gurgaon",12.5,sector 48,,house,,,,,4.0,4.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,east,moderatly old property,3,0,1,0,0,0,2,89
  vipul greens,3.2,sector 48,17204.3,flat,1860.0,1860.0,1209.0,1488.0,3.0,4.0,"Vipul Greens Sector 48, Gurgaon",10.0,east,relatively new property,,0,1,1,0,0,0,214
  adani m2k oyster grande,3.7,sector 102,11569.73,flat,3198.0,3198.0,2238.6,2718.2999999999997,4.0,5.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",10.0,south-west,relatively new property,,0,0,0,0,0,2,99
"  paras dews, sector 106, gurgaon",1.65,sector 106,,house,,,,,2.0,3.0,"  paras dews, sector 106, gurgaon",24.0,east,relatively new property,2,1,0,0,0,0,1,207
  m3m woodshire,2.0,sector 107,8470.99,flat,2361.0,2361.0,1534.65,1888.8000000000002,3.0,4.0,"M3M Woodshire Sector 107, Gurgaon",6.0,north-west,relatively new property,,1,1,0,0,0,0,221
"  emaar mgf the vilas, dlf phase 2, gurgaon",18.5,sector 25,27611.94,house,6700.0,8710.0,5695.0,6700.0,6.0,6.0,"  emaar mgf the vilas, dlf phase 2, gurgaon",2.0,north-east,moderatly old property,3+,1,1,1,0,1,1,146
  mrg the balcony,0.66,sector 93,10509.55,flat,628.0,628.0,376.8,471.0,2.0,2.0,"MRG The Balcony Sector 93, Gurgaon",8.0,west,new property,,0,0,0,0,0,2,155
  dlf park heights,8.0,sector 54,34557.24,flat,2315.0,2315.0,1504.75,1852.0,3.0,3.0,"DLF Park Heights Sector 54, Gurgaon",27.0,south-east,old property,,0,1,0,0,0,0,63
"  palam vihar, gurgaon",4.0,sector 1,,house,,,,,10.0,7.0,"  palam vihar, gurgaon",4.0,east,relatively new property,3,1,0,0,0,1,2,61
"  sector 27, gurgaon",9.25,sector 27,,house,,,,,5.0,6.0,"  sector 27, gurgaon",2.0,east,moderatly old property,3+,1,1,0,0,0,1,6
"  palam vihar, gurgaon",8.05,sector 1,,house,,,,,7.0,7.0,"  palam vihar, gurgaon",3.0,south-west,relatively new property,3,1,1,0,0,0,2,63
  godrej habitat,1.95,sector 3,9384.02,flat,2078.0,2078.0,1350.7,1662.4,3.0,3.0,"Godrej Habitat Sector 3, Gurgaon",6.0,na,relatively new property,,0,0,0,0,0,2,49
"  ansals florence marvel, sushant lok phase 3, gurgaon",8.25,sector 57,,house,,,,,4.0,6.0,"  ansals florence marvel, sushant lok phase 3, gurgaon",2.0,north-west,old property,3+,1,1,1,0,0,1,40
"  pocket e sector 2 palam vihar, gurgaon",10.5,sector 1,22435.9,house,4680.0,6084.0,3978.0,4680.0,6.0,6.0,"  pocket e sector 2 palam vihar, gurgaon",3.0,na,moderatly old property,3+,1,1,1,0,1,2,39
"  suncity, gurgaon",12.0,sector 54,,house,,,,,5.0,6.0,"  suncity, gurgaon",3.0,north-west,relatively new property,3,1,1,1,0,1,1,199
"  sector 52, gurgaon",4.5,sector 52,,house,,,,,8.0,8.0,"  sector 52, gurgaon",4.0,west,relatively new property,3+,1,1,1,0,1,1,106
"  dlf phase 4, gurgaon",9.5,sector 28,,house,,,,,6.0,7.0,"  dlf phase 4, gurgaon",4.0,north-west,relatively new property,3,1,1,1,0,1,1,199
  dlf the skycourt,2.25,sector 86,11664.07,flat,1929.0,1929.0,1253.8500000000001,1543.2,3.0,3.0,"DLF The Skycourt Sector 86, Gurgaon",11.0,east,relatively new property,,0,0,0,0,0,0,182
  bestech park view sanskruti,2.25,sector 92,11278.2,flat,1995.0,1995.0,1296.75,1596.0,3.0,4.0,"Bestech Park View Sanskruti Sector 92, Gurgaon",2.0,north,relatively new property,,0,1,0,0,0,2,182
  m3m woodshire,2.15,sector 107,9106.31,flat,2361.0,2361.0,1534.65,1888.8000000000002,3.0,4.0,"M3M Woodshire Sector 107, Gurgaon",10.0,north-east,relatively new property,,0,1,0,0,0,1,197
"  tata primanti, sector 72, gurgaon",6.5,sector 72,24904.21,house,2610.0,3393.0,2218.5,2610.0,4.0,4.0,"  tata primanti, sector 72, gurgaon",2.0,north,new property,2,0,1,0,0,1,2,85
