society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
  sbtl caladium,1.95,sector 109,10803.32,flat,1805.0,1805.0,1173.25,1444.0,3.0,3.0,"SBTL Caladium Sector 109, Gurgaon",5.0,north-east,relatively new property,,0,0,1,0,0,1,86
  sbtl caladium,1.9,sector 109,10106.38,flat,1880.0,1880.0,1222.0,1504.0,3.0,2.0,"SBTL Caladium Sector 109, Gurgaon",6.0,north-east,moderatly old property,,0,0,0,0,0,2,141
"  a block sushant lok phase 1, gurgaon",12.0,sector 43,,house,,,,,3.0,3.0,"  a block sushant lok phase 1, gurgaon",4.0,north-east,relatively new property,3+,0,1,1,0,1,0,207
"  garden estate, dlf city, gurgaon",12.9,sector 24,,house,,,,,4.0,4.0,"  garden estate, dlf city, gurgaon",3.0,east,moderatly old property,3+,0,1,0,0,0,2,120
"  eldeco mansionz, sector 48, gurgaon",6.5,sector 48,,house,,,,,4.0,4.0,"  eldeco mansionz, sector 48, gurgaon",2.0,north,new property,2,1,1,0,0,1,2,42
  puri diplomatic greens,4.75,sector 111,16101.69,flat,2950.0,2950.0,2065.0,2507.5,4.0,5.0,"Puri Diplomatic Greens Sector 111, Gurgaon",9.0,north-east,relatively new property,,0,1,0,0,0,2,77
"  dlf phase 1, gurgaon",50.0,sector 26,54359.64,house,9198.0,11957.4,7818.3,9198.0,8.0,9.0,"  dlf phase 1, gurgaon",3.0,north-east,moderatly old property,3+,1,1,1,1,0,0,63
"  national media centre, dlf phase 3, gurgaon",7.2,sector 23,,house,,,,,5.0,5.0,"  national media centre, dlf phase 3, gurgaon",2.0,north-east,moderatly old property,3,0,0,0,1,0,2,63
  orris aster court,1.49,sector 85,8895.52,flat,1675.0,1675.0,1088.75,1340.0,3.0,3.0,"Orris Aster Court Sector 85, Gurgaon",7.0,south-west,relatively new property,,0,0,0,1,0,2,221
  bestech park view grand spa,4.11,sector 81,12904.24,flat,3185.0,3185.0,2229.5,2707.25,4.0,5.0,"Bestech Park View Grand Spa Sector 81, Gurgaon",8.0,west,relatively new property,,0,1,0,0,0,1,175
  conscient elevate,5.3,sector 59,23093.68,flat,2295.0,2295.0,1491.75,1836.0,3.0,3.0,"Conscient Elevate Sector 59, Gurgaon",16.0,north-west,new property,,0,1,0,0,0,2,196
  green court,0.68,sector 90,10862.62,flat,626.0,626.0,375.59999999999997,469.5,2.0,2.0,"Green Court Sector 90, Gurgaon",12.0,north,new property,,0,0,1,0,0,1,151
"  b block sushant lok phase 1, gurgaon",14.5,sector 43,32093.85,house,4518.0,5873.400000000001,3840.2999999999997,4518.0,4.0,4.0,"  b block sushant lok phase 1, gurgaon",2.0,east,old property,3+,1,1,1,0,1,1,103
"  u block dlf phase 3, gurgaon",3.2,sector 23,6584.36,house,4860.0,6318.0,4131.0,4860.0,4.0,3.0,"  u block dlf phase 3, gurgaon",3.0,east,old property,3,0,0,0,0,0,2,7
"  dlf phase 4, gurgaon",13.65,sector 28,,house,,,,,5.0,6.0,"  dlf phase 4, gurgaon",3.0,north-east,relatively new property,3,1,1,0,0,1,1,190
  m3m merl,6.1,sector 67,19062.5,flat,3200.0,3200.0,2240.0,2720.0,4.0,4.0,"M3M Merlin Sector 67, Gurgaon",6.0,west,moderatly old property,,0,1,0,0,0,1,208
  shapoorji pallonji joyville gurugram,2.45,sector 102,13409.96,flat,1827.0,1827.0,1187.55,1461.6000000000001,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",2.0,north-east,new property,,0,0,0,0,0,2,94
  tulip purple,2.75,sector 69,11458.33,flat,2400.0,2400.0,1680.0,2040.0,4.0,5.0,"Tulip Purple Sector 69, Gurgaon",5.0,east,new property,,0,1,0,0,0,2,212
"  dlf phase 1, gurgaon",8.0,sector 26,,house,,,,,4.0,4.0,"  dlf phase 1, gurgaon",1.0,east,relatively new property,3,0,0,0,0,0,1,41
  vatika gurgaon 21,2.1,sector 83,10606.06,flat,1980.0,1980.0,1287.0,1584.0,3.0,3.0,"Vatika Gurgaon 21 Sector 83, Gurgaon",11.0,south,moderatly old property,,0,1,0,0,0,2,49
  adani m2k oyster grande,3.3,sector 102,12795.66,flat,2579.0,2579.0,1676.3500000000001,2063.2000000000003,3.0,4.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",9.0,north-east,relatively new property,,0,1,1,0,0,2,194
  sobha city,3.3,sector 108,19286.97,flat,1711.0,1711.0,1112.15,1368.8000000000002,3.0,3.0,"Sobha City Sector 108, Gurgaon",18.0,east,new property,,0,0,0,0,0,2,133
  bestech park view sanskruti,2.44,sector 92,11509.43,flat,2120.0,2120.0,1378.0,1696.0,3.0,4.0,"Bestech Park View Sanskruti Sector 92, Gurgaon",8.0,west,relatively new property,,0,1,0,0,0,1,221
  unitech fresco,2.2,sector 50,15514.81,flat,1418.0,1418.0,850.8,1063.5,2.0,2.0,"Unitech Fresco Nirvana Country, Gurgaon",8.0,north-east,moderatly old property,,1,1,1,0,0,1,205
"  eros rosewood city, sector 49, gurgaon",5.0,sector 49,,house,,,,,3.0,3.0,"  eros rosewood city, sector 49, gurgaon",2.0,north,old property,3,1,0,0,0,0,2,119
"  sector 39, sector 39, gurgaon",4.7,sector 39,,house,,,,,8.0,8.0,"  sector 39, sector 39, gurgaon",4.0,north-east,relatively new property,3,0,0,0,0,0,1,111
  tata primanti,5.25,sector 72,18072.29,flat,2905.0,2905.0,2033.4999999999998,2469.25,4.0,5.0,"Tata Primanti Sector 72, Gurgaon",25.0,east,new property,,0,1,0,0,0,1,221
  ramprastha primera,1.59,sector 37,8833.33,flat,1800.0,1800.0,1170.0,1440.0,3.0,3.0,"Ramprastha Primera Sector 37D, Gurgaon",8.0,east,relatively new property,,0,0,0,0,0,2,213
"  iffco nagar and 17b rwa, sector 17, gurgaon",10.5,sector 17,23240.37,house,4518.0,5873.400000000001,3840.2999999999997,4518.0,4.0,4.0,"  iffco nagar and 17b rwa, sector 17, gurgaon",2.0,north-west,old property,2,1,1,1,0,1,1,108
"  unitech escape, nirvana country, gurgaon",15.0,sector 50,,house,,,,,5.0,4.0,"  unitech escape, nirvana country, gurgaon",2.0,south,relatively new property,3,0,1,1,0,0,1,175
"  emaar mgf marbella, sector 66, gurgaon",18.5,sector 66,41111.11,house,4500.0,5850.0,3825.0,4500.0,5.0,6.0,"  emaar mgf marbella, sector 66, gurgaon",3.0,north,new property,3+,1,1,1,0,0,2,153
  bestech park view ananda,1.8,sector 81,10843.37,flat,1660.0,1660.0,1079.0,1328.0,3.0,2.0,"Bestech Park View Ananda Sector 81, Gurgaon",2.0,south-east,relatively new property,,1,0,0,0,0,1,221
  shapoorji pallonji joyville gurugram,1.4,sector 102,15300.55,flat,915.0,915.0,549.0,686.25,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",0.0,west,relatively new property,,0,0,0,0,0,2,39
"  malibu town, gurgaon",23.0,sector 47,,house,,,,,6.0,7.0,"  malibu town, gurgaon",3.0,north-east,moderatly old property,3+,1,1,1,0,1,1,190
  shapoorji pallonji joyville gurugram,1.4,sector 102,15300.55,flat,915.0,915.0,549.0,686.25,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",25.0,north,relatively new property,,0,0,0,0,0,2,138
  emaar palm gardens,2.75,sector 83,14473.68,flat,1900.0,1900.0,1235.0,1520.0,3.0,3.0,"Emaar Palm Gardens Sector 83, Gurgaon",8.0,north-east,relatively new property,,0,1,0,0,0,0,194
"  dlf phase 4, gurgaon",9.21,sector 28,,house,,,,,5.0,6.0,"  dlf phase 4, gurgaon",3.0,north-east,relatively new property,3,1,1,0,0,0,1,190
"  pocket h, palam vihar, gurgaon",3.5,"pocket h, sector 1",22697.8,house,1542.0,1850.3999999999999,1156.5,1542.0,2.0,2.0,"  pocket h, palam vihar, gurgaon",1.0,south-east,moderatly old property,0,0,0,0,0,0,2,42
  emaar mgf emerald floors premier,3.3,sector 65,,flat,,,,,3.0,3.0,"Emaar MGF Emerald Floors Premier Sector 65, Gurgaon",2.0,north-east,relatively new property,,0,1,1,0,0,1,178
  parsvnath exotica,8.65,sector 53,24504.25,flat,3530.0,3530.0,2294.5,2824.0,3.0,4.0,"Parsvnath Exotica Sector 53, Gurgaon",14.0,north,moderatly old property,,0,1,0,0,0,1,174
  birla navya,5.5,sector 63,14315.46,flat,3842.0,3842.0,2689.3999999999996,3265.7,4.0,4.0,"Birla Navya Sector 63A, Gurgaon",1.0,east,new property,,0,1,0,0,0,2,130
"  dlf phase 2, gurgaon",10.5,sector 25,,house,,,,,5.0,5.0,"  dlf phase 2, gurgaon",3.0,east,old property,3,1,1,1,0,0,2,45
  tata gurgaon gateway,3.5,sector 113,13671.88,flat,2560.0,2560.0,1664.0,2048.0,3.0,4.0,"Tata Gurgaon Gateway Sector 113, Gurgaon",10.0,south,relatively new property,,0,1,0,0,0,2,148
  shapoorji pallonji joyville gurugram,2.49,sector 102,13444.92,flat,1852.0,1852.0,1203.8,1481.6000000000001,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",18.0,north-east,new property,,0,0,0,0,0,1,94
"  high end specifications, dlf phase 2, gurgaon",13.0,sector 25,48148.15,house,2700.0,3510.0,2295.0,2700.0,5.0,6.0,"  high end specifications, dlf phase 2, gurgaon",3.0,east,relatively new property,3+,1,1,1,1,0,1,63
"  parsvnath exotica, sector 53, gurgaon",12.0,sector 53,28571.43,house,4200.0,5460.0,3570.0,4200.0,4.0,5.0,"  parsvnath exotica, sector 53, gurgaon",2.0,north,relatively new property,3+,1,1,1,0,1,0,207
  adani m2k oyster grande,5.8,sector 102,12752.86,flat,4548.0,4548.0,3183.6,3865.7999999999997,4.0,5.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",5.0,east,relatively new property,,1,1,0,0,0,2,100
"  sector 40, gurgaon",3.5,sector 40,,house,,,,,3.0,3.0,"  sector 40, gurgaon",,north-east,moderatly old property,2,0,0,0,0,0,2,10
  paras dews,1.75,sector 106,9943.18,flat,1760.0,1760.0,1144.0,1408.0,3.0,4.0,"Paras Dews Sector 106, Gurgaon",8.0,south-west,relatively new property,,0,1,1,0,0,2,122
"  sector 57, gurgaon",7.5,sector 57,,house,,,,,12.0,1.0,"  sector 57, gurgaon",4.0,south-west,relatively new property,3+,1,1,1,0,1,1,105
  ats tourmale,1.99,sector 109,11371.43,flat,1750.0,1750.0,1137.5,1400.0,3.0,3.0,"ATS Tourmaline Sector 109, Gurgaon",10.0,east,relatively new property,,0,0,0,0,0,2,87
  paras dews,1.85,sector 106,7855.63,flat,2355.0,2355.0,1648.5,2001.75,4.0,6.0,"Paras Dews Sector 106, Gurgaon",6.0,east,relatively new property,,0,1,0,0,0,2,194
  bestech park view sanskruti,2.88,sector 92,12387.1,flat,2325.0,2325.0,1627.5,1976.25,4.0,4.0,"Bestech Park View Sanskruti Sector 92, Gurgaon",12.0,north-east,relatively new property,,0,1,0,0,0,1,196
  ireo skyon,2.95,sector 60,,flat,,,,,2.0,2.0,"Ireo Skyon Sector 60, Gurgaon",11.0,north-east,moderatly old property,,0,1,0,0,0,1,203
  pareena coban residences,2.0,sector 99,10015.02,flat,1997.0,1997.0,1298.05,1597.6000000000001,3.0,5.0,"Pareena Coban Residences Sector 99A, Gurgaon",7.0,east,relatively new property,,0,1,1,0,0,1,100
  experion the heartsong,1.9,sector 108,10807.74,flat,1758.0,1758.0,1142.7,1406.4,3.0,3.0,"Experion The Heartsong Sector 108, Gurgaon",14.0,west,relatively new property,,0,1,1,0,0,2,131
  emaar imperial gardens,2.5,sector 102,12345.68,flat,2025.0,2025.0,1316.25,1620.0,3.0,4.0,"Emaar Imperial Gardens Sector 102, Gurgaon",5.0,south,relatively new property,,0,1,1,0,0,1,197
  ats triumph,3.7,sector 104,11746.03,flat,3150.0,3150.0,2205.0,2677.5,4.0,4.0,"ATS Triumph Sector 104, Gurgaon",9.0,east,relatively new property,,0,1,0,0,0,2,221
  sobha city,2.65,sector 108,19188.99,flat,1381.0,1381.0,828.6,1035.75,2.0,2.0,"Sobha City Sector 108, Gurgaon",2.0,south,relatively new property,,0,0,0,0,0,1,206
"  sector 46, gurgaon",3.9,sector 46,,house,,,,,2.0,2.0,"  sector 46, gurgaon",1.0,south-east,moderatly old property,2,1,1,1,0,1,1,75
  emaar mgf emerald floors premier,3.79,sector 65,,flat,,,,,4.0,4.0,"Emaar MGF Emerald Floors Premier Sector 65, Gurgaon",4.0,west,relatively new property,,0,1,1,0,0,0,221
  m3m skycity,2.24,sector 65,17763.68,flat,1261.0,1261.0,756.6,945.75,2.0,1.0,"M3M Skycity Sector 65, Gurgaon",22.0,south-east,relatively new property,,0,0,1,0,0,2,141
"  sector 45, gurgaon",4.15,sector 45,,house,,,,,7.0,7.0,"  sector 45, gurgaon",3.0,north-east,relatively new property,3+,0,0,0,1,0,1,90
  emaar mgf the palm drive,7.5,sector 66,,flat,,,,,4.0,4.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",15.0,east,relatively new property,,0,1,0,0,0,1,174
"  sector 52, gurgaon",4.55,sector 52,,house,,,,,5.0,5.0,"  sector 52, gurgaon",2.0,south-east,relatively new property,3+,1,1,1,0,1,1,99
  indiabulls enigma,4.78,sector 110,14058.82,flat,3400.0,3400.0,2380.0,2890.0,4.0,5.0,"Indiabulls Enigma Sector 110, Gurgaon",6.0,north-east,relatively new property,,0,1,0,0,0,2,100
"  kothi, block e dlf city phase 1, gurgaon",6.5,sector 26,,house,,,,,3.0,3.0,"  kothi, block e dlf city phase 1, gurgaon",3.0,north-east,old property,2,0,0,0,0,0,2,25
"  vatika emilia floors, sector 83, gurgaon",1.05,sector 83,11351.35,house,925.0,1110.0,693.75,925.0,2.0,2.0,"  vatika emilia floors, sector 83, gurgaon",2.0,north-east,moderatly old property,2,0,0,0,0,0,1,63
  dlf the ultima,3.7,sector 81,17354.6,flat,2132.0,2132.0,1385.8,1705.6000000000001,3.0,3.0,"DLF The Ultima Sector 81, Gurgaon",15.0,north,relatively new property,,0,1,0,0,0,0,110
"  dlf phase 4, gurgaon",11.5,sector 28,,house,,,,,13.0,14.0,"  dlf phase 4, gurgaon",4.0,north,relatively new property,3+,0,1,0,0,0,0,45
  indiabulls enigma,5.25,sector 110,13530.93,flat,3880.0,3880.0,2716.0,3298.0,5.0,5.0,"Indiabulls Enigma Sector 110, Gurgaon",15.0,north,relatively new property,,0,1,0,0,0,2,170
  m3m skycity,3.32,sector 65,18161.93,flat,1828.0,1828.0,1188.2,1462.4,3.0,3.0,"M3M Skycity Sector 65, Gurgaon",12.0,south-east,relatively new property,,0,0,0,0,0,2,53
  sare crescent parc,1.65,sector 92,7412.4,flat,2226.0,2226.0,1558.1999999999998,1892.1,4.0,4.0,"Sare Crescent Parc Sector 92, Gurgaon",14.0,north,relatively new property,,0,1,0,0,0,2,119
  godrej meridien,2.1,sector 106,15373.35,flat,1366.0,1366.0,819.6,1024.5,2.0,2.0,"Godrej Meridien Sector 106, Gurgaon",12.0,east,new property,,0,0,0,0,0,1,137
"  sector 7, gurgaon",4.0,sector 7,,house,,,,,4.0,4.0,"  sector 7, gurgaon",1.0,south-east,relatively new property,3+,0,1,0,0,0,1,57
"  g block dlf city phase 1, gurgaon",8.85,sector 26,,house,,,,,4.0,4.0,"  g block dlf city phase 1, gurgaon",3.0,north-east,moderatly old property,2,1,1,1,1,0,0,207
"  sector 109, gurgaon",8.5,sector 109,13492.06,house,6300.0,8190.0,5355.0,6300.0,4.0,4.0,"  sector 109, gurgaon",2.0,north-west,new property,2,1,1,1,0,1,1,153
  m3m woodshire,1.36,sector 107,9956.08,flat,1366.0,1366.0,819.6,1024.5,2.0,2.0,"M3M Woodshire Sector 107, Gurgaon",0.0,east,moderatly old property,,0,0,0,1,0,2,147
"  dlf phase 1, gurgaon",16.35,sector 26,36188.58,house,4518.0,5873.400000000001,3840.2999999999997,4518.0,5.0,8.0,"  dlf phase 1, gurgaon",3.0,north-east,relatively new property,3,1,1,1,0,1,1,199
"  dlf cyber city, gurgaon",12.25,sector 24,,house,,,,,5.0,7.0,"  dlf cyber city, gurgaon",2.0,north-west,moderatly old property,3+,1,1,1,0,0,2,63
"  nirvana country, gurgaon",9.65,sector 50,,house,,,,,5.0,6.0,"  nirvana country, gurgaon",3.0,north-east,moderatly old property,3,1,1,0,0,0,2,199
  pioneer urban presidia,6.0,sector 62,24439.92,flat,2455.0,2455.0,1595.75,1964.0,3.0,4.0,"Pioneer Urban Presidia Sector 62, Gurgaon",18.0,north-east,moderatly old property,,0,1,1,0,0,2,191
  tulip purple,2.76,sector 69,11500.0,flat,2400.0,2400.0,1680.0,2040.0,4.0,5.0,"Tulip Purple Sector 69, Gurgaon",3.0,east,relatively new property,,0,1,0,0,0,0,221
"  block b, block b sushant lok 3, gurgaon",7.35,sector 57,27222.22,house,2700.0,3510.0,2295.0,2700.0,4.0,4.0,"  block b, block b sushant lok 3, gurgaon",1.0,north,old property,3,1,1,1,0,1,2,51
  tarc maceo,1.92,sector 91,10311.49,flat,1862.0,1862.0,1210.3,1489.6000000000001,3.0,3.0,"TARC Maceo Sector 91, Gurgaon",9.0,south-east,relatively new property,,0,0,0,1,0,1,180
"  sector 46, gurgaon",12.5,sector 46,,house,,,,,9.0,11.0,"  sector 46, gurgaon",3.0,na,relatively new property,2,1,1,0,1,0,2,40
  unitech harmony,4.8,sector 50,14505.89,flat,3309.0,3309.0,2316.2999999999997,2812.65,4.0,4.0,"Unitech Harmony Nirvana Country, Gurgaon",4.0,east,moderatly old property,,1,1,0,1,0,1,221
  m3m woodshire,1.75,sector 107,9006.69,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",4.0,north,relatively new property,,0,0,0,0,0,1,124
  ireo the grand arch,5.5,sector 58,,flat,,,,,3.0,3.0,"Ireo The Grand Arch sector 58, Gurgaon",12.0,south,moderatly old property,,0,0,0,0,0,2,87
  unitech uniworld gardens,3.25,sector 47,16033.55,flat,2027.0,2027.0,1317.55,1621.6000000000001,3.0,4.0,"Unitech Uniworld Gardens Sector 47, Gurgaon",9.0,north-east,old property,,0,1,0,0,0,2,146
"  sector 47, gurgaon",5.1,sector 47,,house,,,,,6.0,5.0,"  sector 47, gurgaon",3.0,north,moderatly old property,3,1,0,1,0,1,1,69
  dlf the skycourt,2.32,sector 86,12020.73,flat,1930.0,1930.0,1254.5,1544.0,3.0,3.0,"DLF The Skycourt Sector 86, Gurgaon",3.0,south-east,relatively new property,,0,0,0,0,1,2,157
"  dlf cyber city, gurgaon",18.0,sector 24,39840.64,house,4518.0,5873.400000000001,3840.2999999999997,4518.0,8.0,10.0,"  dlf cyber city, gurgaon",3.0,south-east,relatively new property,3+,1,1,1,1,0,2,63
"  sector 45, gurgaon",9.25,sector 45,,house,,,,,6.0,6.0,"  sector 45, gurgaon",3.0,east,relatively new property,3,1,1,1,0,1,0,199
  emaar mgf emerald estate,2.55,sector 65,,flat,,,,,3.0,2.0,"Emaar MGF Emerald Estate Sector 65, Gurgaon",5.0,north-east,relatively new property,,0,1,0,0,0,1,205
  vatika sovereign park,4.2,sector 99,12556.05,flat,3345.0,3345.0,2341.5,2843.25,4.0,4.0,"Vatika Sovereign Park Sector 99, Gurgaon",4.0,east,new property,,0,1,0,0,0,2,163
  corona optus,2.35,sector 37,9966.07,flat,2358.0,2358.0,1532.7,1886.4,3.0,3.0,"Corona Optus Sector 37C, Gurgaon",8.0,west,moderatly old property,,0,0,1,0,0,1,221
"  ansal, sushant lok phase 2, gurgaon",7.7,sector 56,,house,,,,,4.0,3.0,"  ansal, sushant lok phase 2, gurgaon",1.0,east,old property,2,0,0,1,0,0,2,63
"  vipul world, sector 48, gurgaon",1.9,sector 48,,house,,,,,3.0,2.0,"  vipul world, sector 48, gurgaon",3.0,north,relatively new property,2,0,0,0,1,0,1,63
"  sector 9, gurgaon",1.6,sector 9,,house,,,,,3.0,3.0,"  sector 9, gurgaon",3.0,south-east,relatively new property,3+,0,0,0,0,1,2,159
  emaar mgf the enclave,3.05,sector 66,15885.42,flat,1920.0,1920.0,1248.0,1536.0,3.0,4.0,"Emaar MGF The Enclave Sector 66, Gurgaon",9.0,north,relatively new property,,0,1,0,0,0,1,221
  bestech park view spa next,4.25,sector 67,15828.68,flat,2685.0,2685.0,1879.4999999999998,2282.25,4.0,5.0,"Bestech Park View Spa Next Sector 67, Gurgaon",9.0,north,moderatly old property,,0,1,0,0,0,1,187
  the close south,4.25,sector 50,17137.1,flat,2480.0,2480.0,1612.0,1984.0,3.0,4.0,"The Close South Nirvana Country, Gurgaon",6.0,north-west,moderatly old property,,0,1,0,0,0,1,110
  vipul lavanya,1.4,sector 81,8974.36,flat,1560.0,1560.0,1014.0,1248.0,3.0,3.0,"Vipul Lavanya Sector 81, Gurgaon",12.0,north,moderatly old property,,0,0,0,0,1,1,221
"  sector 46, gurgaon",6.4,sector 46,,house,,,,,8.0,8.0,"  sector 46, gurgaon",3.0,west,moderatly old property,3+,0,0,0,1,0,1,35
"  dlf phase 2, gurgaon",10.6,sector 25,,house,,,,,4.0,5.0,"  dlf phase 2, gurgaon",3.0,na,old property,3,1,1,0,0,1,2,90
  dlf belvedere towers,4.58,sector 25,20400.89,flat,2245.0,2245.0,1571.5,1908.25,4.0,4.0,"DLF Belvedere Towers DLF Phase 2, Gurgaon",14.0,na,old property,,1,1,0,0,0,2,87
"  sector 45, gurgaon",8.65,sector 45,,house,,,,,9.0,9.0,"  sector 45, gurgaon",3.0,south-west,old property,3+,0,0,0,0,1,1,79
"  ansal sushant lok 2, sector 56, gurgaon",12.98,sector 56,,house,,,,,16.0,20.0,"  ansal sushant lok 2, sector 56, gurgaon",4.0,north,relatively new property,3+,1,1,0,0,1,1,165
  paras dews,1.65,sector 106,9375.0,flat,1760.0,1760.0,1144.0,1408.0,3.0,4.0,"Paras Dews Sector 106, Gurgaon",16.0,south-west,relatively new property,,0,1,0,0,0,2,221
  antriksh heights,1.5,sector 84,8695.65,flat,1725.0,1725.0,1121.25,1380.0,3.0,3.0,"Antriksh Heights Sector 84, Gurgaon",16.0,east,relatively new property,,1,0,0,0,0,2,87
  m3m golfestate,7.05,sector 65,23665.66,flat,2979.0,2979.0,1936.3500000000001,2383.2000000000003,3.0,3.0,"M3M Golfestate Sector 65, Gurgaon",25.0,north,relatively new property,,0,1,1,0,0,1,221
"  international city by sobha phase 2, sector 109, gurgaon",15.0,sector 109,,house,,,,,7.0,7.0,"  international city by sobha phase 2, sector 109, gurgaon",4.0,north-east,relatively new property,3+,1,1,1,0,0,2,53
  pioneer park,4.15,sector 61,,flat,,,,,3.0,4.0,"Pioneer Park Sector 61, Gurgaon",8.0,north-west,moderatly old property,,0,1,1,0,0,1,32
  shapoorji pallonji joyville gurugram,2.3,sector 102,13593.38,flat,1692.0,1692.0,1099.8,1353.6000000000001,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",11.0,north,new property,,0,0,0,0,0,2,186
  emaar palm gardens,2.25,sector 83,13081.4,flat,1720.0,1720.0,1118.0,1376.0,3.0,3.0,"Emaar Palm Gardens Sector 83, Gurgaon",5.0,north,relatively new property,,0,1,0,0,0,1,221
  pareena express heights,1.9,sector 99,9644.67,flat,1970.0,1970.0,1280.5,1576.0,3.0,4.0,"Pareena Express Heights Sector 99, Gurgaon",10.0,north-east,relatively new property,,0,1,0,0,0,1,87
  conscient elevate,4.75,sector 59,22673.03,flat,2095.0,2095.0,1361.75,1676.0,3.0,3.0,"Conscient Elevate Sector 59, Gurgaon",16.0,north-east,new property,,0,1,0,0,0,1,194
"  sector 110 a, gurgaon",3.99,sector 110,10168.2,house,3924.0,5101.2,3335.4,3924.0,5.0,3.0,"  sector 110 a, gurgaon",3.0,na,relatively new property,3+,1,0,0,0,0,0,69
"  a block sushant lok phase 1, gurgaon",25.0,sector 43,34722.22,house,7200.0,9360.0,6120.0,7200.0,10.0,12.0,"  a block sushant lok phase 1, gurgaon",4.0,east,moderatly old property,3+,0,0,0,0,0,2,164
"  kothi, sector 41, gurgaon",7.4,sector 41,,house,,,,,3.0,3.0,"  kothi, sector 41, gurgaon",3.0,north-east,old property,2,0,0,0,0,0,1,31
  indiabulls centrum park,1.41,sector 103,9520.59,flat,1481.0,1481.0,888.6,1110.75,2.0,2.0,"Indiabulls Centrum Park Sector 103, Gurgaon",5.0,east,relatively new property,,0,0,0,1,0,1,166
"  a block sushant lok phase 1, gurgaon",18.5,sector 43,40947.32,house,4518.0,5873.400000000001,3840.2999999999997,4518.0,6.0,6.0,"  a block sushant lok phase 1, gurgaon",3.0,east,moderatly old property,2,0,0,0,0,0,2,34
"  eros rosewood villas, sector 49, gurgaon",5.2,sector 49,,house,,,,,6.0,6.0,"  eros rosewood villas, sector 49, gurgaon",2.0,north-east,old property,3,0,1,0,0,0,1,155
"  lion infra green valley, sector-35 sohna, gurgaon",1.45,sector-35 soh,,house,,,,,3.0,3.0,"  lion infra green valley, sector-35 sohna, gurgaon",4.0,east,relatively new property,2,0,0,0,0,0,1,175
  central park resorts,3.85,sector 48,27150.92,flat,1418.0,1418.0,850.8,1063.5,2.0,2.0,"Central Park Resorts Sector 48, Gurgaon",3.0,east,moderatly old property,,0,0,0,0,0,2,101
  dlf the ultima,4.9,sector 81,17345.13,flat,2825.0,2825.0,1977.4999999999998,2401.25,4.0,5.0,"DLF The Ultima Sector 81, Gurgaon",7.0,south-east,relatively new property,,0,1,0,0,0,1,197
  bptp terra,3.0,sector 37,12264.92,flat,2446.0,2446.0,1712.1999999999998,2079.1,4.0,3.0,"BPTP Terra Sector 37D, Gurgaon",0.0,south-east,moderatly old property,,0,0,0,0,0,2,77
"  tata primanti, sector 72, gurgaon",16.8,sector 72,19764.71,house,8500.0,11050.0,7225.0,8500.0,4.0,4.0,"  tata primanti, sector 72, gurgaon",2.0,north,new property,3+,1,1,1,0,1,0,148
  aipl zen residences,2.9,sector 70,17028.77,flat,1703.0,1703.0,1106.95,1362.4,3.0,3.0,"AIPL Zen Residences Sector 70A, Gurgaon",25.0,north-east,new property,,0,0,0,0,0,1,221
  pareena express heights,1.87,sector 99,,flat,,,,,3.0,3.0,"Pareena Express Heights Sector 99, Gurgaon",10.0,south,relatively new property,,0,0,0,0,0,1,183
  m3m heights,2.65,sector 65,19513.99,flat,1358.0,1358.0,814.8,1018.5,2.0,2.0,"M3M Heights Sector 65, Gurgaon",17.0,west,new property,,0,0,0,0,0,1,187
  m3m merl,4.6,sector 67,19508.06,flat,2358.0,2358.0,1532.7,1886.4,3.0,4.0,"M3M Merlin Sector 67, Gurgaon",10.0,north,relatively new property,,0,1,0,0,0,1,196
"  dlf cyber city, gurgaon",11.0,sector 24,,house,,,,,4.0,6.0,"  dlf cyber city, gurgaon",3.0,west,old property,3+,1,1,1,0,0,2,63
  dlf new town heights 2,2.03,sector 86,10518.13,flat,1930.0,1930.0,1254.5,1544.0,3.0,3.0,"DLF New Town Heights 2 Sector 86, Gurgaon",6.0,east,moderatly old property,,1,1,0,0,0,2,221
  ats tourmale,3.2,sector 109,12379.11,flat,2585.0,2585.0,1680.25,2068.0,3.0,4.0,"ATS Tourmaline Sector 109, Gurgaon",7.0,north-east,relatively new property,,0,1,0,0,0,1,87
  dlf the icon,9.0,sector 54,34482.76,flat,2610.0,2610.0,1826.9999999999998,2218.5,4.0,4.0,"DLF The Icon DLF Phase 5, Gurgaon",12.0,east,moderatly old property,,0,1,0,0,0,1,194
