propertName,rating,society,price,pricePerSqft,area,areaWithType,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,description,furnishDetails,features
"3 BHK Flatin Sector 59, Gurgaon",,  conscient elevate,5.4,23529.41,2295.0,,3,4,"servant room,pooja room","Conscient Elevate Sector 59, Gurgaon",17,north-east,0 to 1 Year Old,"['Rapid Metro Station Sector 55', 'Paras Trinity Mall Sector 63', 'Badshahpur Sohna Rd Highway', 'Mehrauli-Gurgaon Road', 'DPS International School Sector 50', 'Gurugram University Sector 51', 'W Pratiksha Hospital Sector 56', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'International Tech Park Gurgaon', 'Grand Hyatt Gurgaon', 'Mannat Park', 'ZEN Golf Range & Academy', 'Tau DeviLal Sports Complex']","Address ; Conscient hines elevate sector 59 , gurgaon , haryana Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in conscient elevate that is situated in sector 59 gurgaon. Containing 3 bedroom(s), 4 bathrooms and 3 balconies, this flat is spread over a super built up area of ...","['6 Fan', '4 Geyser', '1 Microwave', '50 Light', '1 Modular Kitchen', '4 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
"4 BHK Flatin Sector 3, Gurgaon",,  godrej habitat,2.45,,,2650.0,4,4,not available,"Godrej Habitat Sector 3, Gurgaon",12,north,0 to 1 Year Old,"['Huda City Centre Metro Station', 'Star Mall', 'Dwarka Expressway', 'National Highway 8', 'Gems International School', 'ICFAI University', 'Sneh Hospital', 'Indira Gandhi International Airport', 'Country Inn & Suites by Radisson', 'Appu Ghar Water Park', 'HUDA Mini Golf Course']","Check out this 4 bhk apartment for sale in godrej habitat, a popular residential project that houses in-Demand flats in sector 3 gurgaon. This is a north-Facing property. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a carpet area of 2650 sq.Ft. The propert...","['1 Wardrobe', '2 Light', '4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']"
"3 BHK Flatin Sector 81, Gurgaon",4.1,  bestech park view ananda,1.8,10843.37,1660.0,1082.0,3,2,not available,"Bestech Park View Ananda Sector 81, Gurgaon",14,west,5 to 10 Year Old,"['Metro Station Kankrola sec 87', 'Sapphire 83 Mall', 'Dwarka Expressway', ""St. Xavier's High School"", 'Miracles Apollo Cradle /Spectra Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Heritage Village Resort & Spa', 'SkyJumper Trampoline Park', 'National Tennis Academy']","Bestech park view ananda is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 81 gurgaon is your opportunity to be a part of this community. This property faces the west direction. The flat is over 1660 sq.Ft. Super built up area and comes with 3 bedroom(s),...","['5 Fan', '1 Exhaust Fan', '1 Modular Kitchen', '5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
"3 BHK Flatin Sector 104, Gurgaon",3.9,  ats triumph,2.55,11135.37,2290.0,1862.0,3,4,servant room,"ATS Triumph Sector 104, Gurgaon",14,north-east,1 to 5 Year Old,"['IFFCO Chowk Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expressway', 'Govt. PG College', 'Delhi Public School', 'The NorthCap University', 'Shree Krishna Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot', 'The Executive Centre', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']","Spacious 2290 sqft 3 bhk plus servant available in ats triumph, sec 104 gurgaon. 
Experience the breathtaking luxury of ats triumph homes to get a taste of the excellent life. Motivated by the great designer mies van der rohes philosophy that god is in the information, these ats homes have been desi...","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",
"3 BHK Flatin Sector 84, Gurgaon",,  spaze kalistaa,3.75,,,3200.0,3,4,"study room,servant room","Spaze Kalistaa Sector 84, Gurgaon",2,south,0 to 1 Year Old,"['Huda Metro Station', 'Vatika Town Square-INXT', 'Euro International School', 'DPG Degree College', 'Genesis Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction', 'Candor Infospace, Tower 2', 'Holiday Inn Gurugram Sector 90', 'AapnoGhar', 'Manesar Golf Course', 'Nakhrola Stadium']","This 3 bhk flat is located in spaze kalistaa, which houses some of the most spacious flats in sector 84 gurgaon. The flat is facing the south direction. Constructed on a carpet area of 3200 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and 3 balconies. The residential building has 23 floors i...","['1 Exhaust Fan', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
"4 BHK Flatin Sector 84, Gurgaon",,  spaze kalistaa,4.65,10946.33,4248.0,,4,4,"servant room,study room,pooja room,store room","Spaze Kalistaa Sector 84, Gurgaon",11,north-east,1 to 5 Year Old,"['Huda Metro Station', 'Vatika Town Square-INXT', 'Euro International School', 'DPG Degree College', 'Genesis Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction', 'Candor Infospace, Tower 2', 'Holiday Inn Gurugram Sector 90', 'AapnoGhar', 'Manesar Golf Course', 'Nakhrola Stadium']","Spaze kalistaa is offering a 4bhk apartment in sector 84 gurgaon at a price range of 4.65 cr with an area of 4248 sq.Ft. A ready to move 4 bedroom apartment, located in sector-84, gurgaon, is available. It is a semifurnished apartment, situated in a prominent locality. The apartment is on the 11th f...","['1 Water Purifier', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '10 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', '3 Wardrobe', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Sofa', 'No TV']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
"3 BHK Flatin Sector 112, Gurgaon",4.0,  experion wdchants,4.62,,,2802.0,3,3,"study room,servant room","Experion Windchants Sector 112, Gurgaon",12,east,1 to 5 Year Old,"['Ansal Plaza', 'Dwaraka Expressway', 'First Step Play School', 'Sri Ma Montessori International', 'Jai Sai Ram Hospital', 'Park Hospital', 'IGI Airport', 'Gurgaon Railway Station']","Keys in hand. New apartment. This is all inclusive price. We are authorized rera registered channel partner. We have multiple options available with distress deal, best price guaranteed. We believe into making trust and giving right information with fine advisory. One call makes a difference.
Keys i...","['1 Bed', '1 Light', '1 AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
"3 BHK Flatin Nirvana Country, Gurgaon",3.8,  unitech fresco,2.8,14917.42,1877.0,1800.0,3,4,servant room,"Unitech Fresco Nirvana Country, Gurgaon",7,east,1 to 5 Year Old,"['Rapid Metro Station Sector 55 56', 'M3M Cosmopolitan', 'Golf Course Ext Rd', 'The Paras World School', 'Park Hospital', 'IGI Airport', ""McDonald's India"", 'SkyJumper Trampoline Park']",3 bhk with sq ready to move prime location park pool facing and sun facing balcony with all amenities prime location in nirvana country gurgaon,"['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '4 Geyser', '1 Microwave', '13 Light', '1 Modular Kitchen', '1 Chimney', '5 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
"3 BHK Flatin Sector 109, Gurgaon",4.2,  ats kocoon,2.16,12378.22,1745.0,1550.0,3,3,not available,"ATS Kocoon Sector 109, Gurgaon",15,north-east,1 to 5 Year Old,"['Jagdish Super Market', 'Dwarka', 'Euro International School', 'Gyaananda School', 'SCR Model School', 'Radha Krishan Mandir', 'ICICI BANK ATM, Annapurna MKT', 'ESIC Dispensary', 'IGIA Airport', 'Canara Bank New Palam Vihar', 'Gurgaon Gramin Bank', 'Daultabad Stadium', 'Bharat Petroleum Shree Shyam Filling', 'The Club, International City', 'Conscient One']",Spacious ready to move 3 bhk apartment of 1745 sqft in ats kocoon available fore sale.,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '5 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
"5 BHK Flatin Sector 51, Gurgaon",3.7,  the citizen,4.95,8534.48,5800.0,5200.0,5,5,"pooja room,study room","The Citizen Sector 51, Gurgaon",11,north-east,1 to 5 Year Old,"['Hong Kong Bazaar Mall', 'Radhakrishna Shani Mandir', 'Standard chartered ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Hdfc ATM', 'State bank ATM', 'Icici bank ATM', 'Axis bank ATM', 'Vatsalya Clinic', 'Anand Hospital Gurgaon', 'Meher Clinic', 'Kriti Hospital', 'Surgicare Hospital Gurgaon', 'Bones Clinic - Orthopaedics', 'Arihant Hospital', 'Sukhmani Hospital Pvt. Ltd', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Dispencery', 'Neelkanth Health Care', 'pracksht hospital', 'Wembley estate club', 'Pernod Ricard Charitable Dispensary', 'Medisca', 'Unitech', 'Bharat petroleum', 'Heera Fuel Station', 'HCG CNG Station', '222', 'Hdfc bank', 'Hdfc bank and atm', 'Hdfc bank', 'Hdfc bank', 'Madison and Pike', 'Pizza Hut', 'Raj Restaurant', 'Haldiram', 'India', 'Gurugram University', 'Amity Global School', 'St. Angels Sr', 'Kamla International', 'Manav Rachna School', 'Delhi Public School Primary Section', 'St. Angels Jr', 'School of Inspired Leadership SOIL', 'Unitech Business Park', 'Dawnbit', 'Manav Rachna Swimming Pool']","Check out this 5 bhk apartment for sale in the citizen, a popular residential project that houses in-Demand flats in sector 51 gurgaon. Containing 5 bedroom(s), 5 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 5800 sq.Ft. This flat is situated on the top floor...","['1 Water Purifier', '4 Fan', '1 Exhaust Fan', '1 Dining Table', '5 Geyser', '5 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '6 Wardrobe', '1 Sofa', '1 Microwave', 'No Bed', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage']"
