,society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
0,"  palam vihar, gurgaon",4.26,sector 1,24027.07,house,1773.0,2304.9,1507.05,1773.0,6.0,6.0,"  palam vihar, gurgaon",3.0,north,relatively new property,3,0,0,0,0,0,1,58
1,  m3m woodshire,1.7,sector 107,8749.36,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",7.0,east,relatively new property,,0,0,0,0,0,1,77
2,  central park flower valley aqua front towers,2.5,sector 33,13974.29,flat,1789.0,1789.0,1162.8500000000001,1431.2,3.0,3.0,"Central Park Flower Valley Aqua Front Towers Sector-33 Sohna, Gurgaon",5.0,north,relatively new property,,0,0,0,0,1,2,131
3,"  sector 45, gurgaon",8.3,sector 45,44647.66,house,1859.0,2416.7000000000003,1580.1499999999999,1859.0,12.0,12.0,"  sector 45, gurgaon",4.0,east,new property,3+,1,0,1,0,0,0,198
4,"  nirvana country, gurgaon",10.4,sector 50,433333.33,house,240.0,312.0,204.0,240.0,4.0,4.0,"  nirvana country, gurgaon",,north-east,relatively new property,2,0,1,1,0,0,1,37
5,"  vatika signature villas, sector 82, gurgaon",6.7,sector 82,186111.11,house,360.0,468.0,306.0,360.0,4.0,4.0,"  vatika signature villas, sector 82, gurgaon",2.0,west,relatively new property,3+,1,1,1,0,1,2,88
6,"  sector 46, gurgaon",3.7,sector 46,370000.0,house,100.0,125.0,80.0,100.0,3.0,3.0,"  sector 46, gurgaon",1.0,north-west,new property,2,1,1,1,0,1,1,99
7,  bptp mansions park prime,3.9,sector 66,14109.99,flat,2764.0,2764.0,1934.8,2349.4,4.0,4.0,"BPTP Mansions Park Prime Sector 66, Gurgaon",6.0,south,relatively new property,,0,1,0,1,0,2,13
8,  tata primanti,4.84,sector 72,18980.39,flat,2550.0,2550.0,1657.5,2040.0,3.0,3.0,"Tata Primanti Sector 72, Gurgaon",5.0,north-east,new property,,0,0,0,0,0,1,221
9,"  sushant lok phase 1, gurgaon",8.0,sector 43,372093.02,house,215.0,279.5,182.75,215.0,5.0,6.0,"  sushant lok phase 1, gurgaon",2.0,north-east,relatively new property,2,1,1,0,0,0,1,199
10,"  dlf phase 1, gurgaon",11.0,sector 26,366666.67,house,300.0,390.0,255.0,300.0,5.0,7.0,"  dlf phase 1, gurgaon",3.0,north-east,moderatly old property,3,1,1,1,0,1,1,199
11,  tarc maceo,1.93,sector 91,10365.2,flat,1862.0,1862.0,1210.3,1489.6000000000001,3.0,3.0,"TARC Maceo Sector 91, Gurgaon",6.0,north-east,relatively new property,,0,0,0,0,0,1,103
12,  adani m2k oyster grande,2.55,sector 102,13499.21,flat,1889.0,1889.0,1227.8500000000001,1511.2,3.0,3.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",21.0,north-east,relatively new property,,0,1,0,0,0,2,110
13,  vipul lavanya,1.05,sector 81,8400.0,flat,1250.0,1250.0,750.0,937.5,2.0,2.0,"Vipul Lavanya Sector 81, Gurgaon",10.0,east,moderatly old property,,0,0,0,1,0,2,87
14,  emaar mgf the enclave,2.85,sector 66,,flat,,,,,3.0,4.0,"Emaar MGF The Enclave Sector 66, Gurgaon",11.0,na,moderatly old property,,0,0,0,0,0,2,77
15,  dlf new town heights 1,2.35,sector 90,9940.78,flat,2364.0,2364.0,1654.8,2009.3999999999999,4.0,4.0,"DLF New Town Heights 1 Sector 90, Gurgaon",8.0,north,moderatly old property,,0,1,0,0,1,2,39
16,  shapoorji pallonji joyville gurugram,1.85,sector 102,15226.34,flat,1215.0,1215.0,729.0,911.25,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",6.0,north-east,relatively new property,,0,0,0,0,0,2,39
17,"  independent floor at dlf city, v block dlf phase 3, gurgaon",5.31,sector 23,36196.32,house,1467.0,1907.1000000000001,1246.95,1467.0,4.0,5.0,"  independent floor at dlf city, v block dlf phase 3, gurgaon",2.0,east,relatively new property,3,0,1,0,0,0,1,190
18,  ats triumph,3.8,sector 104,12063.49,flat,3150.0,3150.0,2205.0,2677.5,4.0,4.0,"ATS Triumph Sector 104, Gurgaon",8.0,east,relatively new property,,0,1,1,0,0,1,107
19,"  central park flower valley, sector-33 sohna, gurgaon",3.75,sector 33,150000.0,house,250.0,312.5,200.0,250.0,3.0,3.0,"  central park flower valley, sector-33 sohna, gurgaon",1.0,east,new property,3,1,0,0,0,0,2,207
20,"  ardee pavilion villas, sector 52, gurgaon",6.0,sector 52,250000.0,house,240.0,312.0,204.0,240.0,9.0,9.0,"  ardee pavilion villas, sector 52, gurgaon",3.0,west,relatively new property,3+,1,0,0,0,0,0,190
21,  m3m skycity,3.77,sector 65,18480.39,flat,2040.0,2040.0,1326.0,1632.0,3.0,3.0,"M3M Skycity Sector 65, Gurgaon",35.0,north,new property,,0,1,0,0,0,2,104
22,"  sushant lok phase 1, gurgaon",7.45,sector 43,346511.63,house,215.0,279.5,182.75,215.0,4.0,5.0,"  sushant lok phase 1, gurgaon",2.0,north-east,moderatly old property,2,1,1,0,0,0,2,207
23,"  cyber city, t block, dlf phase 3, gurgaon",8.39,sector 23,29294.69,house,2864.0,3723.2000000000003,2434.4,2864.0,6.0,6.0,"  cyber city, t block, dlf phase 3, gurgaon",2.0,north-east,moderatly old property,3+,1,0,0,0,0,1,176
24,"  tulip ivory, sector 70, gurgaon",4.7,sector 70,12207.79,house,3850.0,5005.0,3272.5,3850.0,5.0,5.0,"  tulip ivory, sector 70, gurgaon",12.0,north-east,moderatly old property,3+,0,1,0,0,0,1,207
25,"  sushant lok 1, sushant lok phase 1, gurgaon",6.7,sector 43,558333.33,house,120.0,156.0,102.0,120.0,8.0,8.0,"  sushant lok 1, sushant lok phase 1, gurgaon",4.0,west,moderatly old property,3+,1,0,0,0,0,1,40
26,"  dlf city phase 1, sector 26, gurgaon",20.0,sector 26,398406.37,house,502.0,652.6,426.7,502.0,4.0,4.0,"  dlf city phase 1, sector 26, gurgaon",3.0,north-east,relatively new property,3+,1,1,1,0,1,0,207
27,  indiabulls centrum park,1.5,sector 103,10128.29,flat,1481.0,1481.0,888.6,1110.75,2.0,2.0,"Indiabulls Centrum Park Sector 103, Gurgaon",5.0,east,relatively new property,,0,0,1,0,0,2,59
28,  indiabulls centrum park,2.0,sector 103,10000.0,flat,2000.0,2000.0,1300.0,1600.0,3.0,3.0,"Indiabulls Centrum Park Sector 103, Gurgaon",7.0,north-east,relatively new property,,0,0,1,0,0,2,194
29,  ramprastha primera,1.65,sector 37,9166.67,flat,1800.0,1800.0,1170.0,1440.0,3.0,3.0,"Ramprastha Primera Sector 37D, Gurgaon",15.0,north-east,relatively new property,,0,0,0,0,0,2,84
30,  emaar mgf palm terraces select,4.2,sector 66,17427.39,flat,2410.0,2410.0,1687.0,2048.5,4.0,4.0,"Emaar Mgf Palm Terraces Select Sector 66, Gurgaon",10.0,north,relatively new property,,0,1,0,0,0,1,180
31,"  dlf new town heights 2, sector 86, gurgaon",4.1,sector 86,,house,,,,,4.0,4.0,"  dlf new town heights 2, sector 86, gurgaon",3.0,east,moderatly old property,3+,1,1,0,0,0,1,185
32,"  vipul tatvam villa, sector 48, gurgaon",12.5,sector 48,347222.22,house,360.0,468.0,306.0,360.0,4.0,4.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,east,moderatly old property,3,0,1,0,0,0,2,89
33,  vipul greens,3.2,sector 48,17204.3,flat,1860.0,1860.0,1209.0,1488.0,3.0,4.0,"Vipul Greens Sector 48, Gurgaon",10.0,east,relatively new property,,0,1,1,0,0,0,214
34,  adani m2k oyster grande,3.7,sector 102,11569.73,flat,3198.0,3198.0,2238.6,2718.2999999999997,4.0,5.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",10.0,south-west,relatively new property,,0,0,0,0,0,2,99
35,"  paras dews, sector 106, gurgaon",1.65,sector 106,,house,,,,,2.0,3.0,"  paras dews, sector 106, gurgaon",24.0,east,relatively new property,2,1,0,0,0,0,1,207
36,  m3m woodshire,2.0,sector 107,8470.99,flat,2361.0,2361.0,1534.65,1888.8000000000002,3.0,4.0,"M3M Woodshire Sector 107, Gurgaon",6.0,north-west,relatively new property,,1,1,0,0,0,0,221
37,"  emaar mgf the vilas, dlf phase 2, gurgaon",18.5,sector 25,27611.94,house,6700.0,8710.0,5695.0,6700.0,6.0,6.0,"  emaar mgf the vilas, dlf phase 2, gurgaon",2.0,north-east,moderatly old property,3+,1,1,1,0,1,1,146
38,  mrg the balcony,0.66,sector 93,10509.55,flat,628.0,628.0,376.8,471.0,2.0,2.0,"MRG The Balcony Sector 93, Gurgaon",8.0,west,new property,,0,0,0,0,0,2,155
39,  dlf park heights,8.0,sector 54,34557.24,flat,2315.0,2315.0,1504.75,1852.0,3.0,3.0,"DLF Park Heights Sector 54, Gurgaon",27.0,south-east,old property,,0,1,0,0,0,0,63
40,"  palam vihar, gurgaon",4.0,sector 1,231213.87,house,173.0,224.9,147.04999999999998,173.0,10.0,7.0,"  palam vihar, gurgaon",4.0,east,relatively new property,3,1,0,0,0,1,2,61
41,"  sector 27, gurgaon",9.25,sector 27,351711.03,house,263.0,341.90000000000003,223.54999999999998,263.0,5.0,6.0,"  sector 27, gurgaon",2.0,east,moderatly old property,3+,1,1,0,0,0,1,6
42,"  palam vihar, gurgaon",8.05,sector 1,223611.11,house,360.0,468.0,306.0,360.0,7.0,7.0,"  palam vihar, gurgaon",3.0,south-west,relatively new property,3,1,1,0,0,0,2,63
43,  godrej habitat,1.95,sector 3,9384.02,flat,2078.0,2078.0,1350.7,1662.4,3.0,3.0,"Godrej Habitat Sector 3, Gurgaon",6.0,na,relatively new property,,0,0,0,0,0,2,49
44,"  ansals florence marvel, sushant lok phase 3, gurgaon",8.25,sector 57,275919.73,house,299.0,388.7,254.15,299.0,4.0,6.0,"  ansals florence marvel, sushant lok phase 3, gurgaon",2.0,north-west,old property,3+,1,1,1,0,0,1,40
45,"  pocket e sector 2 palam vihar, gurgaon",10.5,sector 1,201923.08,house,520.0,676.0,442.0,520.0,6.0,6.0,"  pocket e sector 2 palam vihar, gurgaon",3.0,na,moderatly old property,3+,1,1,1,0,1,2,39
46,"  suncity, gurgaon",12.0,sector 54,,house,,,,,5.0,6.0,"  suncity, gurgaon",3.0,north-west,relatively new property,3,1,1,1,0,1,1,199
47,"  sector 52, gurgaon",4.5,sector 52,382653.06,house,117.6,152.88,99.96,117.6,8.0,8.0,"  sector 52, gurgaon",4.0,west,relatively new property,3+,1,1,1,0,1,1,106
48,"  dlf phase 4, gurgaon",9.5,sector 28,,house,,,,,6.0,7.0,"  dlf phase 4, gurgaon",4.0,north-west,relatively new property,3,1,1,1,0,1,1,199
49,  dlf the skycourt,2.25,sector 86,11664.07,flat,1929.0,1929.0,1253.8500000000001,1543.2,3.0,3.0,"DLF The Skycourt Sector 86, Gurgaon",11.0,east,relatively new property,,0,0,0,0,0,0,182
50,  bestech park view sanskruti,2.25,sector 92,11278.2,flat,1995.0,1995.0,1296.75,1596.0,3.0,4.0,"Bestech Park View Sanskruti Sector 92, Gurgaon",2.0,north,relatively new property,,0,1,0,0,0,2,182
51,  m3m woodshire,2.15,sector 107,9106.31,flat,2361.0,2361.0,1534.65,1888.8000000000002,3.0,4.0,"M3M Woodshire Sector 107, Gurgaon",10.0,north-east,relatively new property,,0,1,0,0,0,1,197
52,"  tata primanti, sector 72, gurgaon",6.5,sector 72,24904.21,house,2610.0,3393.0,2218.5,2610.0,4.0,4.0,"  tata primanti, sector 72, gurgaon",2.0,north,new property,2,0,1,0,0,1,2,85
53,"  tata primanti, sector 72, gurgaon",11.0,sector 72,15714.29,house,7000.0,9100.0,5950.0,7000.0,4.0,5.0,"  tata primanti, sector 72, gurgaon",2.0,north-east,relatively new property,3+,1,1,1,0,0,0,45
54,"  puri diplomatic greens, sector 111, gurgaon",8.5,sector 111,,house,,,,,6.0,8.0,"  puri diplomatic greens, sector 111, gurgaon",3.0,north,relatively new property,3+,1,1,1,0,1,1,201
55,"  tata primanti, sector 72, gurgaon",16.7,sector 72,19647.06,house,8500.0,11050.0,7225.0,8500.0,5.0,6.0,"  tata primanti, sector 72, gurgaon",5.0,west,relatively new property,3+,1,1,1,0,0,1,63
56,"  raheja revanta, sector 78, gurgaon",4.25,sector 78,,house,,,,,4.0,3.0,"  raheja revanta, sector 78, gurgaon",4.0,east,new property,2,0,1,0,0,0,2,69
57,  suncity essel towers,2.25,sector 28,,flat,,,,,3.0,3.0,"Suncity Essel Towers Sector 28, Gurgaon",7.0,east,old property,,0,0,0,0,1,1,203
58,  shree vardhman victoria,2.35,sector 70,12051.28,flat,1950.0,1950.0,1267.5,1560.0,3.0,4.0,"Shree Vardhman Victoria Sector 70, Gurgaon",7.0,north-east,relatively new property,,1,0,0,0,0,1,155
59,"  sushant lok phase 1, gurgaon",14.0,sector 43,334928.23,house,418.0,543.4,355.3,418.0,8.0,8.0,"  sushant lok phase 1, gurgaon",3.0,east,moderatly old property,3+,1,1,0,0,0,1,198
60,"  vatika signature villas, sector 82, gurgaon",5.7,sector 82,237500.0,house,240.0,300.0,192.0,240.0,3.0,2.0,"  vatika signature villas, sector 82, gurgaon",2.0,north-east,moderatly old property,2,0,0,0,0,0,1,136
61,  vatika gurgaon 21,1.9,sector 83,10951.01,flat,1735.0,1735.0,1127.75,1388.0,3.0,3.0,"Vatika Gurgaon 21 Sector 83, Gurgaon",8.0,east,moderatly old property,,0,0,0,0,0,2,94
62,"  eros rosewood city, sector 49, gurgaon",4.5,sector 49,264705.88,house,170.0,221.0,144.5,170.0,5.0,4.0,"  eros rosewood city, sector 49, gurgaon",2.0,north-east,old property,3,0,1,0,0,0,1,153
63,"  sector 31, gurgaon",9.05,sector 31,344106.46,house,263.0,341.90000000000003,223.54999999999998,263.0,7.0,7.0,"  sector 31, gurgaon",3.0,na,moderatly old property,3+,0,0,1,1,0,1,35
64,  ss the leaf,1.75,sector 85,10670.73,flat,1640.0,1640.0,984.0,1230.0,2.0,2.0,"SS The Leaf Sector 85, Gurgaon",8.0,east,relatively new property,,0,0,0,1,0,1,110
65,"  palam vihar, gurgaon",6.85,sector 1,253703.7,house,270.0,351.0,229.5,270.0,6.0,5.0,"  palam vihar, gurgaon",3.0,north,moderatly old property,3,1,1,0,0,1,2,80
66,  emaar digihomes,3.57,sector 62,23673.74,flat,1508.0,1508.0,904.8,1131.0,2.0,2.0,"Emaar Digihomes Sector 62, Gurgaon",3.0,east,relatively new property,,0,0,0,0,0,1,179
67,"  vatika signature villas, sector 82, gurgaon",6.0,sector 82,244249.95,house,245.65,319.345,208.8025,245.65,4.0,6.0,"  vatika signature villas, sector 82, gurgaon",2.0,north-west,new property,3+,1,1,1,0,1,2,142
68,"  emaar mgf the vilas, dlf phase 2, gurgaon",19.9,sector 25,663333.33,house,300.0,390.0,255.0,300.0,4.0,4.0,"  emaar mgf the vilas, dlf phase 2, gurgaon",3.0,east,old property,3+,1,1,1,1,0,1,63
69,  bptp freedom park life,3.5,sector 57,13529.18,flat,2587.0,2587.0,1681.55,2069.6,3.0,4.0,"BPTP Freedom Park Life Sector 57, Gurgaon",5.0,north-east,moderatly old property,,0,1,1,0,0,1,146
70,  indiabulls enigma,8.2,sector 110,11036.34,flat,7430.0,7430.0,5201.0,6315.5,5.0,6.0,"Indiabulls Enigma Sector 110, Gurgaon",12.0,north-east,moderatly old property,,1,1,1,0,1,2,221
71,  sobha city,4.9,sector 108,20913.36,flat,2343.0,2343.0,1522.95,1874.4,3.0,5.0,"Sobha City Sector 108, Gurgaon",10.0,north-east,relatively new property,,0,1,0,0,0,2,153
72,  vipul greens,2.8,sector 48,16816.82,flat,1665.0,1665.0,1082.25,1332.0,3.0,3.0,"Vipul Greens Sector 48, Gurgaon",2.0,east,old property,,0,1,0,0,0,1,172
73,  pioneer park,2.3,sector 61,16849.82,flat,1365.0,1365.0,819.0,1023.75,2.0,2.0,"Pioneer Park Sector 61, Gurgaon",6.0,north-east,moderatly old property,,0,0,0,0,0,1,169
74,"  block c, sushant lok phase 1, gurgaon",3.5,sector 43,530303.03,house,66.0,85.8,56.1,66.0,11.0,11.0,"  block c, sushant lok phase 1, gurgaon",5.0,north,new property,3+,0,0,0,0,0,0,28
75,"  tata primanti, sector 72, gurgaon",10.5,sector 72,15000.0,house,7000.0,9100.0,5950.0,7000.0,4.0,4.0,"  tata primanti, sector 72, gurgaon",3.0,north-east,moderatly old property,3+,1,1,1,0,0,1,63
76,"  sector 27, gurgaon",11.25,sector 27,330882.35,house,340.0,442.0,289.0,340.0,6.0,6.0,"  sector 27, gurgaon",2.0,na,moderatly old property,3+,1,1,0,0,0,1,151
77,"  huda flats, sector 57, gurgaon",9.95,sector 57,378327.0,house,263.0,341.90000000000003,223.54999999999998,263.0,12.0,12.0,"  huda flats, sector 57, gurgaon",4.0,south-east,relatively new property,3+,0,1,0,0,0,1,39
78,  tata primanti,6.35,sector 72,19242.42,flat,3300.0,3300.0,2310.0,2805.0,4.0,5.0,"Tata Primanti Sector 72, Gurgaon",4.0,north-east,new property,,0,1,0,0,1,1,221
79,"  sector 43, gurgaon",10.5,sector 43,,house,,,,,3.0,3.0,"  sector 43, gurgaon",4.0,west,relatively new property,2,0,1,0,0,0,1,88
80,"  vipul tatvam villa, sector 48, gurgaon",11.0,sector 48,301369.86,house,365.0,474.5,310.25,365.0,4.0,4.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,east,moderatly old property,2,0,1,0,0,0,1,93
81,  emaar mgf emerald estate,1.9,sector 65,18627.45,flat,1020.0,1020.0,612.0,765.0,2.0,2.0,"Emaar MGF Emerald Estate Sector 65, Gurgaon",6.0,north-east,moderatly old property,,0,0,1,0,0,1,204
82,"  greenwood city, gurgaon",10.85,sector 45,,house,,,,,5.0,6.0,"  greenwood city, gurgaon",3.0,north-east,relatively new property,3,1,1,0,0,1,1,190
83,  pareena coban residences,1.95,sector 99,9764.65,flat,1997.0,1997.0,1298.05,1597.6000000000001,3.0,5.0,"Pareena Coban Residences Sector 99A, Gurgaon",8.0,north-east,relatively new property,,0,1,0,0,0,1,91
84,"  vishnu garden, gurgaon",0.95,sector 105,126666.67,house,75.0,93.75,60.0,75.0,3.0,3.0,"  vishnu garden, gurgaon",2.0,north,relatively new property,2,0,0,0,0,0,2,15
85,  emaar palm gardens,2.55,sector 83,13076.92,flat,1950.0,1950.0,1267.5,1560.0,3.0,3.0,"Emaar Palm Gardens Sector 83, Gurgaon",10.0,north-east,relatively new property,,0,1,0,0,0,2,221
86,  godrej habitat,2.35,sector 3,8392.86,flat,2800.0,2800.0,1959.9999999999998,2380.0,4.0,4.0,"Godrej Habitat Sector 3, Gurgaon",10.0,east,new property,,0,1,0,0,0,2,78
87,"  sector 57, gurgaon",3.9,sector 57,390000.0,house,100.0,130.0,85.0,100.0,8.0,8.0,"  sector 57, gurgaon",4.0,west,moderatly old property,3+,0,0,0,0,0,0,181
88,  pioneer park,2.85,sector 61,16764.71,flat,1700.0,1700.0,1105.0,1360.0,3.0,3.0,"Pioneer Park Sector 61, Gurgaon",8.0,south-east,moderatly old property,,0,0,0,0,0,1,138
89,"  ansals palam vihar, palam vihar, gurgaon",3.75,sector 1,216763.01,house,173.0,216.25,138.4,173.0,3.0,2.0,"  ansals palam vihar, palam vihar, gurgaon",1.0,north,moderatly old property,2,0,0,0,0,0,2,36
90,  ats triumph,2.55,sector 104,11135.37,flat,2290.0,2290.0,1488.5,1832.0,3.0,4.0,"ATS Triumph Sector 104, Gurgaon",14.0,north-east,relatively new property,,0,1,0,0,0,2,103
91,"  dlf city plots phase 3, v block dlf phase 3, gurgaon",5.2,sector 23,35446.49,house,1467.0,1907.1000000000001,1246.95,1467.0,6.0,6.0,"  dlf city plots phase 3, v block dlf phase 3, gurgaon",3.0,north-east,relatively new property,3+,1,0,0,0,0,1,166
92,"  sector 9, gurgaon",2.65,sector 9,265000.0,house,100.0,130.0,85.0,100.0,4.0,4.0,"  sector 9, gurgaon",4.0,south-east,relatively new property,3+,0,0,0,0,1,2,159
93,"  rosewood city, gurgaon",4.5,sector 49,300000.0,house,150.0,187.5,120.0,150.0,3.0,3.0,"  rosewood city, gurgaon",2.0,north-east,moderatly old property,3,1,1,0,0,0,0,63
94,  m3m woodshire,1.85,sector 107,9521.36,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",4.0,north-east,relatively new property,,0,0,0,0,0,2,77
95,  parsvnath exotica,9.0,sector 53,26548.67,flat,3390.0,3390.0,2373.0,2881.5,4.0,5.0,"Parsvnath Exotica Sector 53, Gurgaon",5.0,east,moderatly old property,,1,1,0,0,0,1,178
96,  godrej summit,2.05,sector 104,8821.0,flat,2324.0,2324.0,1626.8,1975.3999999999999,4.0,5.0,"Godrej Summit Sector 104, Gurgaon",7.0,north-east,relatively new property,,0,1,0,0,0,1,200
97,  conscient elevate,6.25,sector 59,24084.78,flat,2595.0,2595.0,1686.75,2076.0,3.0,4.0,"Conscient Elevate Sector 59, Gurgaon",5.0,south-west,relatively new property,,1,1,1,1,0,0,39
98,  ats tourmale,2.05,sector 109,11714.29,flat,1750.0,1750.0,1137.5,1400.0,3.0,3.0,"ATS Tourmaline Sector 109, Gurgaon",12.0,east,relatively new property,,0,0,0,0,0,1,87
99,"  sector 46, gurgaon",3.6,sector 46,40000.0,house,900.0,1170.0,765.0,900.0,6.0,6.0,"  sector 46, gurgaon",3.0,north-east,moderatly old property,2,1,0,0,0,0,1,130
100,  shapoorji pallonji joyville gurugram,1.91,sector 102,13961.99,flat,1368.0,1368.0,820.8,1026.0,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",15.0,north-east,new property,,0,0,0,0,0,1,221
101,"  sector 80, gurgaon",2.69,sector 80,13759.59,house,1955.0,2443.75,1564.0,1955.0,3.0,2.0,"  sector 80, gurgaon",34.0,east,under construction,3+,0,0,0,0,0,2,71
102,  indiabulls centrum park,1.8,sector 103,10055.87,flat,1790.0,1790.0,1163.5,1432.0,3.0,3.0,"Indiabulls Centrum Park Sector 103, Gurgaon",5.0,west,relatively new property,,0,0,1,0,0,1,189
103,  signature the roselia,0.61,sector 95,,flat,,,,,2.0,2.0,"Signature The Roselia Sector 95A, Gurgaon",7.0,north-east,relatively new property,,0,0,0,0,0,2,86
104,  tulip ivory,4.81,sector 70,12493.51,flat,3850.0,3850.0,2695.0,3272.5,5.0,6.0,"Tulip Ivory Sector 70, Gurgaon",12.0,east,relatively new property,,0,1,0,0,0,0,221
105,  sri kirti apartments,2.9,sector 55,13647.06,flat,2125.0,2125.0,1381.25,1700.0,3.0,3.0,"Sri Kirti Apartments Sector 55, Gurgaon",7.0,east,old property,,0,1,0,0,0,1,111
106,  vatika gurgaon 21,1.86,sector 83,10420.17,flat,1785.0,1785.0,1160.25,1428.0,3.0,3.0,"Vatika Gurgaon 21 Sector 83, Gurgaon",2.0,north,moderatly old property,,0,0,0,0,1,2,125
107,  sbtl caladium,4.7,sector 109,9400.0,flat,5000.0,5000.0,3500.0,4250.0,5.0,7.0,"SBTL Caladium Sector 109, Gurgaon",19.0,north-east,moderatly old property,,1,1,1,0,0,2,96
108,  gpl eden heights,2.62,sector 70,12186.05,flat,2150.0,2150.0,1397.5,1720.0,3.0,4.0,"GPL Eden Heights Sector 70, Gurgaon",6.0,north,moderatly old property,,0,1,0,0,0,1,221
109,  mahdra lumare,7.0,sector 59,,flat,,,,,3.0,3.0,"Mahindra Luminare Sector 59, Gurgaon",2.0,east,relatively new property,,0,1,0,0,0,2,87
110,  ats triumph,3.6,sector 104,11428.57,flat,3150.0,3150.0,2205.0,2677.5,4.0,4.0,"ATS Triumph Sector 104, Gurgaon",12.0,east,relatively new property,,1,1,1,1,0,1,117
111,"  sector 46, gurgaon",14.5,sector 46,290000.0,house,500.0,650.0,425.0,500.0,16.0,20.0,"  sector 46, gurgaon",4.0,north-west,relatively new property,3+,1,1,1,1,0,2,63
112,  ireo victory valley,4.45,sector 67,18457.07,flat,2411.0,2411.0,1567.15,1928.8000000000002,3.0,3.0,"Ireo Victory Valley Sector 67, Gurgaon",31.0,north-east,relatively new property,,1,1,0,0,0,1,221
113,  godrej air,2.6,sector 85,,flat,,,,,3.0,3.0,"Godrej Air Sector 85, Gurgaon",12.0,north,new property,,0,0,0,0,0,2,221
114,"  a block sushant lok phase 1, gurgaon",14.0,sector 43,334928.23,house,418.0,543.4,355.3,418.0,8.0,8.0,"  a block sushant lok phase 1, gurgaon",3.0,west,relatively new property,3,1,1,1,0,1,0,207
115,"  dlf phase 2, gurgaon",8.25,sector 25,412500.0,house,200.0,250.0,160.0,200.0,3.0,3.0,"  dlf phase 2, gurgaon",3.0,west,moderatly old property,2,0,1,0,0,0,1,55
116,"  south city 1, gurgaon",9.0,sector 41,180000.0,house,500.0,650.0,425.0,500.0,19.0,20.0,"  south city 1, gurgaon",3.0,north,old property,3+,1,0,1,0,1,2,92
117,  vatika gurgaon 21,2.17,sector 83,10954.06,flat,1981.0,1981.0,1287.65,1584.8000000000002,3.0,3.0,"Vatika Gurgaon 21 Sector 83, Gurgaon",10.0,east,moderatly old property,,0,1,0,0,0,1,134
118,  dlf new town heights 1,2.49,sector 90,10532.99,flat,2364.0,2364.0,1654.8,2009.3999999999999,4.0,4.0,"DLF New Town Heights 1 Sector 90, Gurgaon",16.0,north,relatively new property,,1,1,0,0,0,2,212
119,"  sector 51, gurgaon",10.5,sector 51,456521.74,house,230.0,299.0,195.5,230.0,12.0,15.0,"  sector 51, gurgaon",4.0,north-east,new property,3+,1,1,1,1,0,1,198
120,"  ss aaron ville, uppals southend, gurgaon",5.6,sector 49,16000.0,house,3500.0,4550.0,2975.0,3500.0,4.0,4.0,"  ss aaron ville, uppals southend, gurgaon",2.0,north-east,relatively new property,3,1,1,0,0,0,1,207
121,"  sector 46, gurgaon",5.5,sector 46,341614.91,house,161.0,209.3,136.85,161.0,6.0,6.0,"  sector 46, gurgaon",3.0,north-east,old property,3,0,0,0,0,1,2,85
122,"  block c palam vihar, gurgaon",1.6,sector 1,222222.22,house,72.0,82.8,50.4,72.0,1.0,1.0,"  block c palam vihar, gurgaon",1.0,south-west,relatively new property,1,0,0,0,1,0,2,63
123,  sbtl caladium,2.98,sector 109,9754.5,flat,3055.0,3055.0,2138.5,2596.75,4.0,4.0,"SBTL Caladium Sector 109, Gurgaon",8.0,north,relatively new property,,0,1,0,0,0,2,159
124,  dlf beverly park,7.5,sector 25,,flat,,,,,3.0,4.0,"DLF Beverly Park DLF Phase 2, Gurgaon",2.0,east,old property,,0,1,1,0,1,1,104
125,"  international city by sobha phase 2, sector 109, gurgaon",7.75,sector 109,129166.67,house,600.0,780.0,510.0,600.0,4.0,5.0,"  international city by sobha phase 2, sector 109, gurgaon",2.0,na,new property,3+,0,1,0,0,1,2,163
126,  bptp mansions park prime,4.0,sector 66,13140.6,flat,3044.0,3044.0,2130.7999999999997,2587.4,4.0,4.0,"BPTP Mansions Park Prime Sector 66, Gurgaon",10.0,north,relatively new property,,1,1,1,1,0,1,221
127,"  dlf phase 4, gurgaon",14.0,sector 28,443037.97,house,316.0,410.8,268.59999999999997,316.0,7.0,7.0,"  dlf phase 4, gurgaon",3.0,north-west,relatively new property,3+,1,1,1,0,1,1,103
128,  gpl eden heights,1.75,sector 70,14000.0,flat,1250.0,1250.0,750.0,937.5,2.0,2.0,"GPL Eden Heights Sector 70, Gurgaon",8.0,north,relatively new property,,0,0,1,0,0,2,151
