,society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore
1184,  ss the coralwood,1.36,sector 84,9543.86,flat,1425.0,1425.0,855.0,1068.75,2.0,2.0,"SS The Coralwood Sector 84, Gurgaon",11.0,east,relatively new property,,0,0,0,0,0,2,97
1185,"  ansals palam vihar, palam vihar, gurgaon",6.75,sector 1,281250.0,house,240.0,312.0,204.0,240.0,9.0,9.0,"  ansals palam vihar, palam vihar, gurgaon",3.0,north,relatively new property,3,0,0,0,1,0,2,106
1186,  m3m heights,2.33,sector 65,18477.4,flat,1261.0,1261.0,756.6,945.75,2.0,2.0,"M3M Heights Sector 65, Gurgaon",7.0,north,new property,,0,0,0,0,0,2,126
1187,"  laxman vihar phase 2, gurgaon",0.9,sector 46,10000.0,house,900.0,1170.0,765.0,900.0,4.0,3.0,"  laxman vihar phase 2, gurgaon",2.0,north,relatively new property,1,0,0,0,1,0,2,15
1188,"  sector 15 part 2, gurgaon",9.2,sector 15,250000.0,house,368.0,460.0,294.40000000000003,368.0,3.0,3.0,"  sector 15 part 2, gurgaon",2.0,north-east,moderatly old property,1,1,1,0,0,0,2,15
1189,"  g block dlf city phase 1, gurgaon",7.5,sector 26,375000.0,house,200.0,260.0,170.0,200.0,5.0,5.0,"  g block dlf city phase 1, gurgaon",2.0,west,moderatly old property,3,0,1,0,0,0,1,108
1190,  tata primanti,6.0,sector 72,18181.82,flat,3300.0,3300.0,2310.0,2805.0,4.0,5.0,"Tata Primanti Sector 72, Gurgaon",7.0,north-east,relatively new property,,0,1,0,0,0,1,94
1191,  ireo skyon,4.1,sector 60,20048.9,flat,2045.0,2045.0,1329.25,1636.0,3.0,4.0,"Ireo Skyon Sector 60, Gurgaon",10.0,east,relatively new property,,0,1,0,0,0,1,221
1192,"  emaar the palm sprgs, sector 54, gurgaon",29.0,sector 54,805555.56,house,360.0,468.0,306.0,360.0,5.0,6.0,"  emaar the palm sprgs, sector 54, gurgaon",3.0,north-west,moderatly old property,3+,1,1,0,0,1,0,165
1193,  aipl zen residences,2.2,sector 70,17432.65,flat,1262.0,1262.0,757.1999999999999,946.5,2.0,2.0,"AIPL Zen Residences Sector 70A, Gurgaon",6.0,north,relatively new property,,0,0,0,0,0,1,221
1194,  shree vardhman flora,1.2,sector 90,9230.77,flat,1300.0,1300.0,780.0,975.0,2.0,2.0,"Shree Vardhman Flora Sector 90, Gurgaon",7.0,south-east,relatively new property,,0,0,1,0,0,2,131
1195,  bestech park view spa next,3.8,sector 67,16170.21,flat,2350.0,2350.0,1645.0,1997.5,4.0,4.0,"Bestech Park View Spa Next Sector 67, Gurgaon",7.0,east,relatively new property,,0,1,0,0,0,2,101
1196,  pareena express heights,2.4,sector 99,,flat,,,,,4.0,4.0,"Pareena Express Heights Sector 99, Gurgaon",7.0,north-east,relatively new property,,1,1,1,0,0,2,133
1197,  sobha city,2.9,sector 108,20999.28,flat,1381.0,1381.0,828.6,1035.75,2.0,2.0,"Sobha City Sector 108, Gurgaon",1.0,east,relatively new property,,0,0,0,0,0,1,158
1198,"  sector 45, gurgaon",8.6,sector 45,421568.63,house,204.0,265.2,173.4,204.0,12.0,12.0,"  sector 45, gurgaon",4.0,east,new property,3+,0,1,0,0,0,1,71
1199,"  south city 1, gurgaon",2.05,sector 41,341666.67,house,60.0,75.0,48.0,60.0,3.0,3.0,"  south city 1, gurgaon",3.0,north,moderatly old property,3+,0,0,0,0,1,1,105
1200,  ramprastha primera,1.58,sector 37,8777.78,flat,1800.0,1800.0,1170.0,1440.0,3.0,3.0,"Ramprastha Primera Sector 37D, Gurgaon",10.0,east,relatively new property,,1,0,0,0,0,2,94
1201,  shapoorji pallonji joyville gurugram,2.45,sector 102,14679.45,flat,1669.0,1669.0,1084.8500000000001,1335.2,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",9.0,north,relatively new property,,0,0,0,0,0,2,94
1202,  indiabulls centrum park,2.85,sector 103,9913.04,flat,2875.0,2875.0,2012.4999999999998,2443.75,4.0,6.0,"Indiabulls Centrum Park Sector 103, Gurgaon",8.0,north,moderatly old property,,0,1,0,0,0,2,139
1203,"  sector 46, gurgaon",6.35,sector 46,310498.26,house,204.51,265.863,173.8335,204.51,6.0,6.0,"  sector 46, gurgaon",2.0,south-west,relatively new property,3+,1,1,1,0,1,1,104
1204,"  sector 46, gurgaon",5.5,sector 46,335365.85,house,164.0,213.20000000000002,139.4,164.0,4.0,4.0,"  sector 46, gurgaon",2.0,south-west,moderatly old property,2,1,1,1,0,1,1,106
1205,"  dlf phase 4, gurgaon",4.7,sector 28,130555.56,house,360.0,468.0,306.0,360.0,4.0,4.0,"  dlf phase 4, gurgaon",4.0,east,new property,3,1,1,0,0,0,1,34
