,society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore,areaToBedRatio
2455,"  unitech deerwood chase, nirvana country, gurgaon",9.5,sector 50,52777.78,house,1800.0,2340.0,1530.0,1800.0,4.0,4.0,"  unitech deerwood chase, nirvana country, gurgaon",3.0,north-east,old property,3,0,1,0,0,1,1,78,450.0
2458,"  cyber city, t block, dlf phase 3, gurgaon",8.44,sector 23,29469.27,house,2864.0,3723.2000000000003,2434.4,2864.0,6.0,6.0,"  cyber city, t block, dlf phase 3, gurgaon",2.0,north-east,moderatly old property,3+,1,0,0,0,0,1,176,477.3333333333333
2470,  pyramid urban homes,0.72,sector 70,8612.44,flat,836.0,836.0,501.59999999999997,627.0,2.0,2.0,"Pyramid Urban Homes Sector 70A, Gurgaon",8.0,east,relatively new property,,0,0,0,0,0,2,111,418.0
2489,"  sushant lok 1 builder floors, sushant lok phase 1, gurgaon",3.3,sector 43,11913.36,house,2770.0,3601.0,2354.5,2770.0,9.0,9.0,"  sushant lok 1 builder floors, sushant lok phase 1, gurgaon",5.0,north-west,relatively new property,3+,0,0,1,0,0,0,198,307.77777777777777
2512,  shapoorji pallonji joyville gurugram,1.4,sector 102,15300.55,flat,915.0,915.0,549.0,686.25,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",6.0,north-east,relatively new property,,0,0,0,0,0,1,213,457.5
2549,"  block c, sushant lok phase 1, gurgaon",3.7,sector 43,7613.17,house,4860.0,6318.0,4131.0,4860.0,10.0,10.0,"  block c, sushant lok phase 1, gurgaon",4.0,west,new property,3+,0,0,0,1,0,0,166,486.0
2558,"  plot rate luxury kothi, dlf phase 1, gurgaon",8.5,sector 26,40476.19,house,2100.0,2730.0,1785.0,2100.0,5.0,6.0,"  plot rate luxury kothi, dlf phase 1, gurgaon",3.0,east,relatively new property,3+,1,1,1,1,0,1,63,420.0
2573,  shapoorji pallonji joyville gurugram,1.36,sector 102,14107.88,flat,964.0,964.0,578.4,723.0,2.0,2.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",10.0,south-east,relatively new property,,0,0,0,0,0,1,94,482.0
2622,  mapsko paradise,1.33,sector 83,9925.37,flat,1340.0,1340.0,871.0,1072.0,3.0,3.0,"Mapsko Paradise Sector 83, Gurgaon",9.0,north,moderatly old property,,0,0,0,1,0,1,186,446.6666666666667
2625,  emaar mgf palm hills,1.79,sector 77,12344.83,flat,1450.0,1450.0,942.5,1160.0,3.0,3.0,"Emaar MGF Palm Hills Sector 77, Gurgaon",3.0,west,relatively new property,,0,1,1,0,0,1,94,483.3333333333333
2645,"  signature global city 92, sector 92, gurgaon",1.6,sector 92,13333.33,house,1200.0,1500.0,960.0,1200.0,3.0,2.0,"  signature global city 92, sector 92, gurgaon",4.0,east,under construction,2,0,0,0,0,0,1,98,400.0
2646,  dlf wellgton estate,4.0,sector 54,22988.51,flat,1740.0,1740.0,1218.0,1479.0,4.0,4.0,"DLF Wellington Estate DLF Phase 5, Gurgaon",10.0,north-east,old property,,0,0,0,0,1,1,164,435.0
