,index,society,area,propertyType,bedRooms,bathRooms,additionalRooms,address,floorNum,balcony,facing,agePossesion,nearbyLocation,description,furnishDetails,features,propertyId,links
231,231," in Sushant Lok Phase 1, Gurgaon",215.0,House,4 Bedrooms ,4 Bathrooms,"Pooja Room,Study Room,Servant Room,Store Room"," in Sushant Lok Phase 1, Gurgaon",2 Floors,3+ Balconies ,North,10+ Year Old,"['Huda city centre metro station', 'New Life Church', 'Hanuman Mandir', 'Hdfc bank ATM', 'Standard chartered ATM', 'Hdfc ATM', 'Rbs ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Citi bank ATM', 'Icici ATM', 'Axis bank ATM', 'Hdfc ATM', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Gupta', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Arihant Hospital', 'Paras Hospital Gurgaon', 'Sitaram Bhartia', 'Centre For Sight Gurgaon Sector 29', 'Guardian Pharmacy', 'Chikitsa', 'Gardian Pharmacy', 'City Medical', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'PWO house', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'Naveidyam', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Dighent cafe', 'Pizza Hut', 'Fat', 'Nowhere Brewpub and cafe', 'Stones2milestones', 'School of Inspired Leadership SOIL', 'Mantis Eye LLP', 'Dawnbit', 'PK Online', 'Ncr library', 'Bahrisons library']","Address:  Sushant Lok Phase 1, Gurgaon Park facing, well maintained kothi.
One of the best locations in sushant lok 1.
4 bedrooms, north facing.
Contact for visits or more info. ","['5 Wardrobe', '1 Water Purifier', '10 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '10 Light', '1 Modular Kitchen', '1 Chimney', '6 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'False Ceiling Lighting', 'Park', 'Recently Renovated', 'Natural Light', 'Airy Rooms', 'Spacious Interiors']",R80222875,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-phase-1-gurgaon-1935-sq-ft-spid-R80222875
232,232," in DLF City Phase 1, DLF Phase 1, Gurgaon",2700.0,House,5 Bedrooms ,6 Bathrooms,"Pooja Room,Study Room,Servant Room,Store Room"," in DLF City Phase 1, DLF Phase 1, Gurgaon",4 Floors,3+ Balconies ,,5 to 10 Year Old,"['Phase 1', 'MGF Megacity Mall', 'NH148A', 'Shiv Nadar School', 'IILM University', 'Paras Hospitals', 'Indira Gandhi International Airport', 'Gurgaon', 'AltF Global Business Park', 'Le Méridien', 'Appu Ghar', 'DLF Golf and Country Club', 'Tau Devi Lal Athletic Stadium']","Address: Dlf Phase1, DLF Phase 1, Gurgaon Available for sale , kothi in dlf phase1, 300 sq.Yard, east facing, 24 meter wide road, gated community, near shopping complex, near rapid metro station, for more information call us asap.
We have more options in plots in dlf city phase 1, size 215 sq.Yard to 1022 sq.Yard and also independent kothis...  and brand new ultra luxury builder floors.More >>","['1 Water Purifier', '1 Fridge', '1 Exhaust Fan', '1 Washing Machine', '1 Stove', '1 Microwave', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Sofa', 'No TV', 'No Wardrobe']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",X74095923,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-1-dlf-phase-1-gurgaon-8000-sq-ft-r1-spid-X74095923
233,233," in Ansal, Block C, Sushant Lok Phase 1, Gurgaon",240.0,House,14 Bedrooms ,14 Bathrooms,"Pooja Room,Study Room,Servant Room,Store Room"," in Ansal, Block C, Sushant Lok Phase 1, Gurgaon",4 Floors,3+ Balconies ,North,10+ Year Old,"['Huda city centre metro station', 'Sector 42-43 metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Rbs ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Gupta', 'Paras Hospital Gurgaon', 'Arihant Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Sitaram Bhartia', 'Guardian Pharmacy', 'Chikitsa', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'PWO house', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'Naveidyam', 'Starbucks', 'CCD', 'Blue Tokai Coffee Roasters', 'Drunken Monkey', 'Belgian Waffle', 'Sagar Ratna', 'Cafe Tonini', 'Shophouse by Kylin', 'Fat', 'Dighent cafe', 'Nowhere Brewpub and cafe', ""Carl's Jr."", 'Starbucks', 'Pizza Hut', 'Stones2milestones', 'School of Inspired Leadership SOIL', 'Mantis Eye LLP', 'Dawnbit', 'PK Online', 'Two Horizon Center', 'Ncr library', 'Bahrisons library']","Address: Best Deal, Block C, Sushant Lok Phase 1, Gurgaon Prime location pg for sale near vyapar kendra marketLocation: Prime area with excellent connectivity
Property type: Beautifully designed pg rooms
Rental income: 3.5 lakhs per month
Proximity: Close to vyapar kendra market, offering easy access to shopping, transport, and business centers.
Key feat... ures:
Spacious and well-Maintained rooms
High-Demand area with a steady rental income
Easy accessibility to public transport
Ideal for investors seeking a high-Return property in a strategic location.More >>","['1 Water Purifier', '1 Fridge', '26 Fan', '1 Exhaust Fan', '14 Geyser', '1 Stove', '30 Light', '14 TV', '14 AC', '1 Chimney', '1 Curtains', '14 Wardrobe', '14 Bed', '1 Sofa', '1 Microwave', '1 Washing Machine', 'No Dining Table', 'No Modular Kitchen']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting']",Z80169279,https://www.99acres.com/14-bhk-bedroom-independent-house-villa-for-sale-in-ansal-block-c-sushant-lok-phase-1-gurgaon-2160-sq-ft-spid-Z80169279
234,234," in DLF City Plots Phase 2, DLF Phase 2, Gurgaon",402.0,House,5 Bedrooms ,5 Bathrooms,"Pooja Room,Study Room,Servant Room,Store Room"," in DLF City Plots Phase 2, DLF Phase 2, Gurgaon",3 Floors,3+ Balconies ,East,5 to 10 Year Old,"['Sahara Mall', 'Delhi Public School', 'Privat Hospital']","Address: Best Deal, DLF Phase 2, Gurgaon East facing
12 mtr road
Old built up
Gated community
More option available ","['1 Bed', '1 Water Purifier', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Microwave', '2 Light', '2 AC', '1 Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Modular Kitchen', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",A80397385,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-phase-2-dlf-phase-2-gurgaon-3618-sq-ft-spid-A80397385
235,235," in Vipul Tatvam Villa, Sector 48, Gurgaon",360.0,House,4 Bedrooms ,4 Bathrooms,"Pooja Room,Study Room,Servant Room"," in Vipul Tatvam Villa, Sector 48, Gurgaon",2 Floors,3 Balconies ,North,5 to 10 Year Old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","Address: 212, Sector 48, Gurgaon 360 sq yards north facing and park facing 4bhk duplex villa for sale its 3 side open well maintained villa ready for sale call for inside visit.
Vipul tatvam villa in sector 48, gurgaon is a ready-To-Move housing society. It offers villas in varied budget range. These units are a perfect combination...  of comfort and style, specifically designed to suit your requirements and conveniences. There are 3bhk, 4bhk and 5bhk villas available in this project. This housing society is now ready to be called home as families have started moving in. Check out some of the features of vipul tatvam villa housing society:

*spread over an area of 50 acres, vipul tatvam villa sector 48, gurgaon is one of the spacious housing societies in the gurgaon region. With all the basic amenities available, vipul tatvam villa fits into your budget and your lifestyle.

*sector 48, gurgaon has good connectivity to some of the important areas in the proximity such as hdfc bank, the sixth element school and k.R.Mangalam world school and so on.More >>","['6 Wardrobe', '7 Fan', '1 Exhaust Fan', '6 Geyser', '12 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",M80007779,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3240-sq-ft-spid-M80007779
236,236," in South City 1, Gurgaon",360.0,House,5 Bedrooms ,5 Bathrooms,"Pooja Room,Store Room,Servant Room"," in South City 1, Gurgaon",2 Floors,3+ Balconies ,East,1 to 5 Year Old,"['Huda city centre metro station', 'Axis bank ATM', 'Hdfc ATM', 'Axis bank ATM', 'Citi bank ATM', 'Icici ATM', 'Punjab national bank ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Centre For Sight Gurgaon Sector 29', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Shivam Hospital Gurgaon', 'Gardian Pharmacy', 'City Medical', 'Bharat petroleum', 'Hdfc bank', 'Icici bank', 'Beer & Whisky Bar', 'MoB Ministory of Beer', ""McDonald's"", 'Park Baluchi', ""Domino's Pizza"", 'Zura', 'The Oriental Bloom Chinese and Thai', 'Gola Sizzles', ""Hops 'N' Brew"", 'Pizza Hut', 'Spaghetti Kitchen & Bar', 'Bikanervala', 'Tocpao', 'PWO house', 'Black Mambaa', 'Gravity Space Bar', 'Roots', 'KFC', 'Ardor 29', 'ADDA', 'Gung the palace Korean restaurant', 'Walking Street', 'distillery', 'Swagath', 'Dhabba', 'Pizza Hut', 'Balaji Vegetarian Paradise', 'School of Inspired Leadership SOIL', 'Dawnbit', 'Ncr library']","Address: Block K, South City 1, Gurgaon Broker please excuseNss realtor presents you this east & well located 360sq yd house at plot rate in southcity-1 with blocks-K. Based on the prestigious golf course road and having a decade long experience, nss realtor will give you all confirmed and genuine real-Estate deals with utmost transpa... rency and clarity. 

Plot description:
Size: 360 sq yds 
Facing: East
Gated and 10 mtr road
J & k block lane

Near huda city centre

More options in plot sizes of 180yd,215yd,300yd,500yd,1000 sq yds at attractive rates in greenwood/southcity, sushant lok-2/3, dlf.

For further details, pls contact undersigned:
Kunal kanwar
Nss realtorMore >>","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'No open drainage around', 'Park', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']",,J60652612,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-south-city-1-gurgaon-3240-sq-ft-r3-spid-J60652612
237,237," in Ansals Palam Vihar, Palam Vihar, Gurgaon",520.0,House,5 Bedrooms ,6 Bathrooms,"Study Room,Servant Room,Others"," in Ansals Palam Vihar, Palam Vihar, Gurgaon",2 Floors,3 Balconies ,East,5 to 10 Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']","Address:  Palam Vihar, Gurgaon Nice luxury villa in gated block of palam vihar .This villa is in g block of palam vihar which is the most posch block of palam vihar . Suitable for builders also ","['1 Water Purifier', '6 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '9 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', '3 TV', '6 AC', '5 Wardrobe', '3 Bed', '1 Sofa', '1 Microwave', '1 Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",M79936521,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-4680-sq-ft-spid-M79936521
238,238," in V Block DLF Phase 3, Gurgaon",316.0,House,5 Bedrooms ,5 Bathrooms,"Pooja Room,Study Room,Store Room,Servant Room"," in V Block DLF Phase 3, Gurgaon",2 Floors,3+ Balconies ,South-West,10+ Year Old,"['Guru dronacharya metro station', 'Dlf phase 3 metro station', 'Micromax moulsari avenue metro station', 'Dlf phase 2 metro station', 'Indusind bank cyber city metro station', 'Sikandarpur rmrg metro station', 'Ambience Mall', 'Shri Shiv Shakthi Mandir', 'Icici bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Abn amro bank ATM', 'Citibank ATM', 'Kotak mahindra ATM', 'Citibank ATM', 'Dental Cure and Care Centre', 'Garg Dental Care', ""Dr. Khullar's Dental Clinic"", 'Shri Ram Memorial Hospital', 'R.N Clinic', ""St Stephen's Hospital Health Care Facility"", 'Dental Harbour', 'Anahat Hospital', 'Upkar Clinic', 'Asha Multispeciality Clinic', 'Relief Physiotherapy Clinic', 'Darpan Skin & Mind Clinic', 'Krishna Family Clinic', 'Cosmodentz Dental Clinic', 'RBS Dental Clinic', 'Kailash Nursing Home Gurgaon', 'Durga Poly Clinic', 'Pharmacy', 'Shri Balaji Medical Store', 'Emaar Business Park', 'State bank of india', 'Icici bank', 'Deutsche bank', 'Standard chartered bank', 'PVR Cinames', 'Machaan', 'The God Father', 'Food Court', 'Mc Donalds', 'barrique', ""McDonald's"", 'M2M Cybernetics', 'Microsoft', 'Bain & Company', 'Boston Consulting Group']","Address:  V Block DLF Phase 3, Gurgaon Luxurious 5bhk duplex kothi for sale in dlf phase 3A rare opportunity to own a stunning 5bhk duplex kothi in a prime location!Key features:- Plot size: 316 sqyd
- Age: 10-12 years, well-Maintained with modern amenities
- Gated location with 24/7 security
- Power backup for uninterrupted comfor... t
- Close proximity to:
 - Park for a serene ambiance
 - City club for entertainment and leisure
 - Market for daily essentials
 - Bank for financial convenience
 - Gym for fitness enthusiasts
 - Metro station for easy connectivity
 - Malls for shopping and dining
- 7 km from igi airport for global connections

Prime address, value for money:

- Dlf phase 3 is a renowned and prestigious address
- This property offers exceptional value for its price
- Ideal for those seeking luxury, comfort, and convenience

Property highlights:

- 5 spacious bedrooms with ample natural light
- Duplex design with luxurious living areas
- Well-Maintained property with modern amenities

Don't miss this opportunity!

Contact us at provided number to own this incredible property and experience the best of luxury living!More >>","['1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Maintenance Staff', 'Swimming Pool', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",S80723383,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-v-block-dlf-phase-3-gurgaon-2844-sq-ft-spid-S80723383
239,239," in Garden Estate, Gurgaon",300.0,House,4 Bedrooms ,4 Bathrooms,Servant Room," in Garden Estate, Gurgaon",2 Floors,3 Balconies ,,10+ Year Old,"['Guru dronacharya metro station', 'Sikandarpur rmrg metro station', 'Sikanderpur metro station', 'Sikandarpur metro station', 'Dlf phase 2 metro station', 'Dlf phase 3 metro station', 'Dlf phase 1 metro station', 'Hanuman Mandir', 'Shri Shiv Shakthi Mandir', 'Central bank ATM', 'Central bank atm teste 001112', 'Icici bank ATM', 'Icici bank ATM', 'Kotak mahindra ATM', 'Citibank ATM', 'Abn amro bank ATM', 'Axis bank ATM', ""St Stephen's Hospital Health Care Facility"", 'Anahat Hospital', 'Krishna Family Clinic', 'Upkar Clinic', 'Durga Poly Clinic', 'Sikka Maternity And Surgical Center', 'Cosmodentz Dental Clinic', ""Dr. Khullar's Dental Clinic"", 'Kailash Nursing Home Gurgaon', 'Divine Look Clinic Centre 1', 'Relief Physiotherapy Clinic', 'Shri Ram Memorial Hospital', 'R.N Clinic', 'RBS Dental Clinic', 'Dental Cure and Care Centre', 'Darpan Skin & Mind Clinic', 'Garg Dental Care', 'Surgi Center Clinic', 'Asha Multispeciality Clinic', 'Uma Sanjeevani Health Centre And Hospital', 'Pharmacy', 'Shri Balaji Medical Store', 'Emaar Business Park', 'Axis bank', 'State bank of india', 'Standard chartered bank', 'Icici bank', 'Food Court', 'Food Court', 'Mc Donalds', 'The God Father', 'M2M Cybernetics', 'Microsoft']","Address:  Garden Estate, Gurgaon Avl villa
Garden estate opp gurudronacharya metro station mg road
4bhk+sq villas gated township 
Luxury township on mg road
Club house swimming pool gym 
Opp global business park ","['1 Water Purifier', '10 Fan', '1 Exhaust Fan', '6 Geyser', '1 Stove', '5 Light', '7 AC', '1 Chimney', '1 Curtains', '1 Modular Kitchen', '5 Wardrobe', '1 Microwave', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",P80330545,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-garden-estate-gurgaon-2700-sq-ft-spid-P80330545
240,240," in Cyber City, DLF Phase 3, Gurgaon",500.0,House,22 Bedrooms ,25 Bathrooms,"Pooja Room,Study Room,Servant Room,Store Room"," in Cyber City, DLF Phase 3, Gurgaon",4 Floors,3+ Balconies ,East,5 to 10 Year Old,"['Dlf phase 3 metro station', 'Vodafone belvedere towers metro station', 'Indusind bank cyber city metro station', 'Micromax moulsari avenue metro station', 'Dlf phase 2 metro station', 'Ambience Mall', 'Shri Shiv Shakthi Mandir', 'Kotak mahindra ATM', 'Citibank ATM', 'Abn amro bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Icici bank ATM', 'Darpan Skin & Mind Clinic', 'RBS Dental Clinic', 'Asha Multispeciality Clinic', 'Relief Physiotherapy Clinic', 'Kailash Nursing Home Gurgaon', 'Cosmodentz Dental Clinic', 'Dental Harbour', 'R.N Clinic', 'Shri Ram Memorial Hospital', 'Upkar Clinic', 'Krishna Family Clinic', 'Durga Poly Clinic', ""Dr. Khullar's Dental Clinic"", 'Surgi Center Clinic', 'Garg Dental Care', 'Shri Balaji Medical Store', 'Pharmacy', 'SP Infocity', 'DLF Cyber City Phase II', 'Icici bank', 'Deutsche bank', 'Standard chartered bank', 'PVR Cinames', ""McDonald's"", 'Mc Donalds', 'Food Court', 'The God Father', 'barrique', 'Mukesh Dhaba', 'Cantine', 'Machaan', 'Bain & Company', 'Boston Consulting Group', 'KPMG', 'CEVA Logistics India', 'Microsoft', 'Taikisha Engineering PVT']","Address: Best Deal, DLF Phase 3, Gurgaon Guest house for sale  prime location with easy connectivityLocation: Excellent, easily accessible area
Property type: Well-Established guest house with a restaurant
Investment potential: Perfect for long-Term investment with strong demand for accommodation
Key features:
Spacious, well-Maintained g... uest rooms
Fully functional restaurant on-Site
Strategic location with high foot traffic and visibility
Easy connectivity to major transport hubs and key areas
This property offers a great opportunity for investors looking to own a profitable and versatile business in a prime location.More >>","['1 Water Purifier', '1 Fridge', '26 Fan', '1 Exhaust Fan', '25 Geyser', '38 Light', '22 TV', '20 AC', '1 Curtains', '21 Bed', '22 Wardrobe', '1 Sofa', '1 Microwave', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Stove', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting']",R80169545,https://www.99acres.com/22-bhk-bedroom-independent-house-villa-for-sale-in-cyber-city-dlf-phase-3-gurgaon-4500-sq-ft-spid-R80169545
241,241," in Unitech Espace, Nirvana Country, Gurgaon",360.0,House,4 Bedrooms ,4 Bathrooms,"Servant Room,Store Room,Pooja Room,Study Room"," in Unitech Espace, Nirvana Country, Gurgaon",2 Floors,3+ Balconies ,North-East,10+ Year Old,"['Radhakrishna Shani Mandir', 'Sri Radhe Krishna Temple', 'Standard chartered ATM', 'Icici bank ATM', 'Vatsalya Clinic', 'Bones Clinic - Orthopaedics', 'Skin Clinic', 'Divine Look Clinic Centre', 'Meher Clinic', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Vishesh Dental', 'Neelkanth Health Care', 'Park Hospital Gurgaon', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Sanjeevani Hospital Gurgaon', 'Sai Heart and Trauma Center', 'Ekta Hospital', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sai Dharamraj Hospital', 'Wembley estate club', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', 'Icici bank', 'Central bank of india', 'SRS Cinemas', 'Madison and Pike', 'India', 'Haldiram', 'Starbucks', 'Nook', ""Domino's Pizza"", ""Nirula's"", 'Kamla International', 'Gurugram University', 'Delhi Public School Primary Section', 'Amity Global School', 'Unitech Business Park', 'Stryker Global Tech Center', 'McKinsey & Company Gurugram Knowledge Center', 'Carmesi Corporate']","Address:  Nirvana Country, Gurgaon North facing ,espace block of nirvana country
360 sq yards duplex villa having 4bhk with study room,servant room and store room also on top floor,complete wood work with modular kitchen.
Neat and clean property
Call for site visit ","['4 Wardrobe', '7 Fan', '4 Geyser', '11 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",K79601551,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-espace-nirvana-country-gurgaon-3240-sq-ft-spid-K79601551
242,242," in Vipul Tatvam Villa, Sector 48, Gurgaon",500.0,House,5 Bedrooms ,6 Bathrooms,"Pooja Room,Study Room,Servant Room,Others"," in Vipul Tatvam Villa, Sector 48, Gurgaon",2 Floors,3 Balconies ,North,1 to 5 Year Old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","Address: 123, Sector 48, Gurgaon 500 sq yards park facing 3side open 5bhk duplex villa for sale in vipul tatvam villa sector 48 on sohna road with complete wood work with modular kitchen. It's neat and clean property call for site visit.
Vipul tatvam villa in sector 48, gurgaon is a ready-To-Move housing society. It offers villas i... n varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 3bhk, 4bhk and 5bhk villas available in this project. This housing society is now ready to be called home as families have started moving in. Check out some of the features of vipul tatvam villa housing society:

*spread over an area of 50 acres, vipul tatvam villa sector 48, gurgaon is one of the spacious housing societies in the gurgaon region. With all the basic amenities available, vipul tatvam villa fits into your budget and your lifestyle.

*sector 48, gurgaon has good connectivity to some of the important areas in the proximity such as hdfc bank, the sixth element school and k.R.Mangalam world school and so on.More >>","['5 Wardrobe', '9 Fan', '1 Exhaust Fan', '4 Geyser', '9 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",U79997383,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-4500-sq-ft-spid-U79997383
