,name,price,link
30,"5 Bedroom House in Sector 109, Gurgaon",₹18.89 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-1-sector-109-gurgaon-4500-sq-ft-spid-S80304573
31,"4 Bedroom House in Sushant Lok Phase 1, Gurgaon",₹13 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-whispering-meadows-sushant-lok-phase-1-gurgaon-3762-sq-ft-spid-X80391317
32,"4 Bedroom House in Sector 15 Part 2, Gurgaon",₹12 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-15-part-2-gurgaon-3564-sq-ft-spid-P79921173
33,"5 Bedroom House in DLF Phase 2, Gurgaon",₹9.5 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-1980-sq-ft-spid-M80248765
34,"6 Bedroom House in DLF Phase 1, Gurgaon",₹19 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-3600-sq-ft-spid-M80248453
35,"5 Bedroom House in DLF Phase 1, Gurgaon",₹8.5 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-2100-sq-ft-spid-N80275037
36,"4 Bedroom House in Sector 7, Gurgaon",₹4 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-7-gurgaon-1962-sq-ft-spid-J80239153
37,"4 Bedroom House in Sector 72, Gurgaon",₹11.5 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-tata-primanti-sector-72-gurgaon-63000-sq-ft-r1-spid-Y73954283
38,"3 Bedroom House in Sector 7, Gurgaon",₹4.5 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-7-gurgaon-2250-sq-ft-r1-spid-H79149125
39,"4 Bedroom House in Sector 82, Gurgaon",₹8.25 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vatika-signature-villas-sector-82-gurgaon-3240-sq-ft-spid-F79256303
40,"7 Bedroom House in Sector 38, Gurgaon",₹6 Cr,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-sector-38-gurgaon-1449-sq-ft-r1-spid-P79256123
41,"2 Bedroom House in Sector 82, Gurgaon",₹1.1 Cr,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-vatika-independent-floors-sector-82-gurgaon-925-sq-ft-spid-P78703259
42,"6 Bedroom House in Palam Vihar, Gurgaon",₹6.85 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-2430-sq-ft-r10-spid-W56236972
43,"3 Bedroom House in Sector 10A, Gurgaon",₹5.7 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-10a-gurgaon-2367-sq-ft-r2-spid-L77935687
44,"3 Bedroom House in Sector 17B, Gurgaon",₹7.19 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-17b-gurgaon-2367-sq-ft-spid-F79891977
45,"4 Bedroom House in Sector 5, Gurgaon",₹5.25 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-5-gurgaon-2367-sq-ft-spid-R80188131
46,"6 Bedroom House in Pocket E Sector 2 Palam Vihar, Gurgaon",₹10.5 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-pocket-e-sector-2-palam-vihar-gurgaon-4680-sq-ft-spid-K80569085
47,"9 Bedroom House in Sector 52, Gurgaon",₹4.65 Cr,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-ardee-city-sector-52-gurgaon-1440-sq-ft-spid-M79818833
48,"2 Bedroom House in Sohna, Gurgaon",₹1.55 Cr,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sohna-gurgaon-1053-sq-ft-r1-spid-P68085692
49,"6 Bedroom House in Bhondsi, Gurgaon",₹1.08 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-bhondsi-gurgaon-3119-sq-ft-spid-S80971911
50,"12 Bedroom House in Sector 5, Gurgaon",₹6.8 Cr,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-5-gurgaon-2368-sq-ft-spid-P80897129
51,"6 Bedroom House in Rosewood City, Gurgaon",₹51 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-rosewood-city-gurgaon-10000-sq-ft-spid-O80954817
52,"4 Bedroom House in Palam Vihar, Gurgaon",₹2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-600-sq-ft-r1-spid-S53859908
54,"8 Bedroom House in Ashok Vihar Phase 1, Gurgaon",₹1.2 Cr,https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-ashok-vihar-phase-1-gurgaon-1800-sq-ft-spid-R80935617
55,"3 Bedroom House in Gurgaon Masani, Gurgaon",₹1.5 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-masani-gurgaon-1426-sq-ft-r1-spid-W76373595
56,"2 Bedroom House in Laxman Vihar, Gurgaon",₹56 Lac,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-laxman-vihar-gurgaon-450-sq-ft-spid-K80926665
57,"6 Bedroom House in Sadar Bazar, Gurgaon",₹1.75 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sadar-bazar-gurgaon-1900-sq-ft-spid-J80925807
58,"22 Bedroom House in V Block DLF Phase 3, Gurgaon",₹9.5 Cr,https://www.99acres.com/22-bhk-bedroom-independent-house-villa-for-sale-in-v-block-dlf-phase-3-gurgaon-7800-sq-ft-spid-W80925521
59,"4 Bedroom House in Krishna Colony, Gurgaon",₹1.35 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-krishna-colony-gurgaon-650-sq-ft-r1-spid-U80812221
60,"5 Bedroom House in Sohna, Gurgaon",₹50 Lac,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sohna-gurgaon-535-sq-ft-spid-I80915681
61,"1 Bedroom House in Sohna, Gurgaon",₹5.5 Lac,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-sohna-gurgaon-400-sq-ft-r2-spid-S57695362
62,"5 Bedroom House in MG Road, Gurgaon",₹12.5 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-mg-road-gurgaon-4725-sq-ft-spid-X80879735
63,"7 Bedroom House in Sector 22, Gurgaon",₹6.1 Cr,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-sector-22-gurgaon-1800-sq-ft-spid-L80867947
64,"9 Bedroom House in Pocket E Sector-21, Gurgaon",₹6 Cr,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-pocket-e-sector-21-gurgaon-2160-sq-ft-spid-G80862079
65,"10 Bedroom House in Nirvana Country, Gurgaon",₹17 Cr,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-nirvana-country-gurgaon-3240-sq-ft-spid-U80357955
66,"6 Bedroom House in New Basti, Gurgaon",₹85 Lac,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-new-basti-gurgaon-675-sq-ft-spid-A80856425
67,"3 Bedroom House in Sector 57, Gurgaon",₹6.5 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-57-gurgaon-1440-sq-ft-spid-O80840951
68,"20 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",₹11.5 Cr,https://www.99acres.com/20-bhk-bedroom-independent-house-villa-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-1980-sq-ft-spid-Z80796167
69,"3 Bedroom House in Sector 57, Gurgaon",₹3 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-57-gurgaon-2600-sq-ft-spid-N80789073
70,"6 Bedroom House in Sector 40, Gurgaon",₹10.25 Cr,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-2367-sq-ft-r1-spid-M77765597
71,"4 Bedroom House in Hans Enclave, Gurgaon",₹1.87 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-hans-enclave-gurgaon-1647-sq-ft-spid-L80800619
72,"2 Bedroom House in Pataudi, Gurgaon",₹55 Lac,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-pataudi-gurgaon-1350-sq-ft-spid-Y80793439
73,"3 Bedroom House in Sushant Lok Phase 1, Gurgaon",₹12.5 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-phase-1-gurgaon-3771-sq-ft-r1-spid-K78211095
74,"3 Bedroom House in Haileymandi, Gurgaon",₹38 Lac,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-haileymandi-gurgaon-116-sq-ft-spid-V80770029
75,"2 Bedroom House in Surat Nagar Phase 2, Gurgaon",₹40 Lac,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-surat-nagar-phase-2-gurgaon-450-sq-ft-spid-J80755027
76,"3 Bedroom House in Sushant Lok 2,Sector 55, Gurgaon",₹7.5 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-2-sector-55-gurgaon-1611-sq-ft-spid-U80749521
77,"4 Bedroom House in Sector 29, Gurgaon",₹11.5 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-29-gurgaon-3762-sq-ft-r2-spid-I74119401
78,"5 Bedroom House in Pataudi, Gurgaon",₹6.4 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-pataudi-gurgaon-11340-sq-ft-spid-J80718333
79,"5 Bedroom House in DLF Phase 5, Gurgaon",₹12 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-the-grove-dlf-phase-5-gurgaon-4500-sq-ft-spid-X80664497
81,"3 Bedroom House in Golf Course Ext Road, Gurgaon",₹2.9 Cr,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-golf-course-extension-road-gurgaon-1659-sq-ft-spid-X80670607
82,"4 Bedroom House in Maruti Kunj, Gurgaon",₹1.15 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-maruti-kunj-gurgaon-900-sq-ft-spid-F80617349
83,"3 Bedroom House in Nihali colony, Gurgaon",₹65 Lac,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-nihali-colony-gurgaon-65-sq-ft-spid-Y80657539
84,"5 Bedroom House in Block M DLF phase 2, Gurgaon",₹9.5 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-block-m-dlf-phase-2-gurgaon-1935-sq-ft-spid-G80644341
85,"5 Bedroom House in Vidya Nagar, Gurgaon",₹2.35 Cr,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-gurgaon-1800-sq-ft-r2-spid-P73440481
86,"1 Bedroom House in Sultanpur, Gurgaon",Price on Request,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-sultanpur-gurgaon-600-sq-ft-spid-J80609133
87,"1 Bedroom House in Farukhnagar, Gurgaon",₹2.45 Cr,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-farukhnagar-gurgaon-1962-sq-ft-spid-D80609129
88,"1 Bedroom House in Sector 46, Gurgaon",₹2.6 Cr,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-sector-46-gurgaon-963-sq-ft-spid-E80602765
89,"4 Bedroom House in Sector 82, Gurgaon",₹5.25 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-mapsko-casa-bella-sector-82-gurgaon-2700-sq-ft-r4-spid-G43770369
90,"4 Bedroom House in Sector 86, Gurgaon",₹4 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-2640-sq-ft-r16-spid-G44834631
91,"4 Bedroom House in Block H, DLF City Phase 1, Gurgaon",₹6.8 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-block-h-dlf-city-phase-1-gurgaon-1818-sq-ft-spid-W80592047
92,"12 Bedroom House in Subhash Nagar, Gurgaon",₹2.8 Cr,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-subhash-nagar-gurgaon-1720-sq-ft-spid-F80575689
