features,coef
builtup,0.000792627618838752
bedRooms,-0.07227796168858762
bathRooms,0.21315529258400756
balcony,0.08352785237197549
servant room,0.7739210885765982
luxCat,0.012220267700887206
heightCat,-0.15480961307101349
