,name,price,link
27,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
28,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
29,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
30,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
31,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
32,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
33,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
34,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
35,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
36,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
37,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
38,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
39,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
40,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
41,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
42,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
43,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
44,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
45,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
46,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
47,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
48,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
49,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
50,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
51,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
52,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
53,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
54,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
55,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
56,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
57,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
58,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
59,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
60,"4 Bedroom House in DLF Phase 3, Gurgaon",₹4.2 Cr,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-national-media-centre-dlf-phase-3-gurgaon-3800-sq-ft-r3-spid-H43928833
